cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn,
012653101,ALB,NA,43.62,3986.672059,1277.846,0.311133319,L,1,7/31/2010,1,-8.092618,
018581108,ADS,NA,57.48,3066.59,23.245,4.765297799,L,1,7/31/2010,1,-2.244259,
063750103,BKMU,NA,5.88,267.42,398.174,0.032990059,K,1,7/31/2010,1,-13.16984,
068463108,BBSI,NA,14.96,156.501482,103.984,0.07253886,K,1,7/31/2010,1,-11.04011,
06846N104,BBG,NA,35.38,1625.032942,1340.989,0.273209366,L,1,7/31/2010,1,-7.970605,
210226106,CTO,NA,28.81,164.9,152.347,0.014530372,L,1,7/31/2010,1,-6.04015,
21075N204,MCF,NA,43.84,691.680339,500.58,0.231453283,L,1,7/31/2010,1,0.02281022,
216831107,CTB,NA,21.61,1323.20124,368.927125,0.772957194,L,1,7/31/2010,1,-24.59509,
286082102,EFII,NA,10.65,482.213363,516.276,-0.006968365,K,1,7/31/2010,1,-0.1877934,
29084Q100,EME,NA,26.01,1725.633164,1315.537,0.197240285,L,1,7/31/2010,1,-12.57209,
292218104,EIG,NA,15.54,663.954674,509.176,0.174094459,L,1,7/31/2010,1,-5.275384,
418056107,HAS,NA,42.15,5893.613971,1676.726438,0.453278504,L,1,7/31/2010,1,-4.246738,
419596200,HVT.A,NA,12.7,264.26,261.658,0.109331524,ALB,1,7/31/2010,0.3336,-23.22835,
422704106,HL,NA,4.94,1265.060275,886.955,0.172301873,L,1,7/31/2010,1,15.78947,
46600W106,IXYS,NA,8.83,277.261135,183.135,0.180414832,K,1,7/31/2010,1,7.134768,
466032109,JJSF,NA,41.71,771.52,378.071,0.268142186,K,1,7/31/2010,1,-9.494126,
026760405,AMIC,NA,5,42.532445,90.275,0.052585614,LIQ,1,7/31/2010,0.3012,-5,
02913V103,APEI,NA,44.66,820.82,95.615,0.499077988,K,1,7/31/2010,1,-44.35737,
029429107,ASEI,NA,79.18,714.524041,221.768,0.249203468,K,1,7/31/2010,1,-9.995317,
030111108,AMSC,NA,30.15,1352.281891,282.213,0.204955152,K,1,7/31/2010,1,-11.07794,
032159105,AXR,NA,11.97,71.774658,93.519,0.043954394,L,1,7/31/2010,0.9,-8.02005,
03232P405,AMSG,NA,18.32,566.483016,596.079,0.38456481,K,1,7/31/2010,1,-9.00655,
032359309,AFSI,NA,12.83,761.504148,604.858,0.241888709,K,1,7/31/2010,1,6.391271,
098570104,BAMM,NA,6.48,101.900527,113.766,0.315718229,K,1,7/31/2010,1,-15.74074,
101388106,EPAY,NA,14.17,446.3,151.055,0.115527756,K,1,7/31/2010,1,-1.129146,
111621306,BRCD,NA,4.95,2198.71,1923.723,0.151302448,K,1,7/31/2010,1,1.414141,
117043109,BC,NA,16.92,1497.89,259.1875,-0.209077381,L,1,7/31/2010,1,-24.8818,
