cusip_sedol,security_symbol,country_code,month_end_price,total_market_cap,book,DPB_Current,status_code,security_type,me_date,ff_Adj,Rtn,
000361105,AIR,NA,18.39,730.7,1029.4,0.165257096,L,1,3/31/2013,1,-2.474171,
00101J106,ADT,NA,48.94,11365.17186,5503,0.285741373,L,1,3/31/2013,1,-10.57534,
001055102,AFL,NA,52.02,24331.81243,19528,0.187076013,L,1,3/31/2013,1,4.652057,
00206R102,T,NA,36.69,201487.1522,120853,0.229170976,L,1,3/31/2013,1,3.31994,
014491104,ALEX,NA,35.75,1515.932061,1067.3,0.041994751,L,1,3/31/2013,1,-4.727273,
015351109,ALXN,NA,92.14,17986.5802,1990.677,0.211359566,K,1,3/31/2013,1,6.359887,
016259103,ALIM,NA,3.07,96.790211,11.797,-3.201577687,K,1,3/31/2013,1,-4.885993,
020409108,AFAM,NA,20.43,191.15,235.176,0.140289462,K,1,3/31/2013,1,-3.377386,
02076X102,ANR,NA,8.21,1812.112678,5938.814,0.129712578,L,1,3/31/2013,1,-9.622412,
021441100,ALTR,NA,35.46,11350.66391,3333.447,0.175706284,K,1,3/31/2013,1,-9.729273,
023177108,EPAX,NA,4.31,73.393908,89.969,0.085914347,K,1,3/31/2013,1,-22.27378,
023586100,UHAL,NA,173.54,3402.74,1589.602,0.417250985,K,1,3/31/2013,0.9,-7.39887,
025537101,AEP,NA,48.63,23623.99017,24648,0.159034172,LU,1,3/31/2013,1,5.757763,
025816109,AXP,NA,67.46,74519.76,18886,0.39929048,L,1,3/31/2013,0.9,1.71438,
03475V101,ANGO,NA,11.43,399.754192,526.688,0.058761544,K,1,3/31/2013,1,-11.37358,
035255108,ANIK,NA,14.52,200.561086,109.908,0.233468843,K,1,3/31/2013,1,-8.057851,
03600T104,BNNY,NA,38.26,644.625026,79.645,0.229028815,IPO,1,3/31/2013,1,-1.228437,
039483102,ADM,NA,33.73,22221.04155,20187,0.117996731,L,1,3/31/2013,1,0.6225911,
040712101,ARKR,NA,20.96,68.011951,30.22,0.435804103,M,1,3/31/2013,1,3.912214,
04269E107,ARQL,NA,2.59,162.82,85.371,-0.127929507,K,1,3/31/2013,1,13.89961,
04269X105,ARRY,NA,4.91,572.81,-31.717,NULL,K,1,3/31/2013,1,21.18126,
07556Q881,BZH,NA,15.84,397.52,242.617,-0.390661001,L,1,3/31/2013,1,2.020202,
075896100,BBBY,NA,64.42,14567.66,3977.122,0.448124046,K,1,3/31/2013,1,6.799131,
084423102,WRB,NA,44.37,6035.36,4366.47,0.217404004,L,1,3/31/2013,1,-2.141086,
08579W103,BERY,NA,19.05,2153.380491,65,6.369230769,IPO,1,3/31/2013,1,-0.2624672,
225310101,CACC,NA,122.14,2925.25,770.3,0.461248864,K,1,3/31/2013,1,-17.85656,
229899109,CFR,NA,62.53,3853.88,2417.482,0.131823086,L,1,3/31/2013,1,-3.390373,
230215105,CFI,NA,15.91,194.5,92.822,0.275286519,L,1,3/31/2013,1,2.074167,
