Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV,
,MANT,,39.50999832,1510693760,0.801613161,,Information Technology,,,,0.087530865,0.036352172,0,,,,,-0.003,0.087530865,0.224046416,0.388487646,0.353116838,,,39.071,37.0638,34.7431,32.0898,965071.26,0.114761
,FSP,,12.81999969,1284402560,0.696808776,,REIT,,,,0.067692898,0.017727308,0,,,,,0.0314,0.067692898,0.233577447,0.357069421,0.173128008,,,12.4055,11.976,11.31,10.6857,1236591.56,0.147048
,CKEC,,30.81999969,751258624,0.386945308,,Consumer Discretionary,,,,0.010823218,0.001844904,0,,,,,-0.01,0.010823218,0.015204949,0.389540093,0.285773908,,,30.579,30.2964,30.1245,26.432,249437.36,0.029662
,VRNT,,35.27000046,2193723904,0.481656324,,Information Technology,,,,0.079914287,0.000522855,0,,,,,0.0262,0.079914287,0.05725654,-0.036602025,-0.393569454,,,33.713,33.939,34.1145,37.4363,2164978.41,0.257447
,VSI,,29.26000023,710110784,0.632925197,,Consumer Discretionary,,,,-0.038764793,0.0693596,0,,,,,-0.0676,-0.038764793,0.073619258,-0.038448901,-0.167567597,,,31.134,30.586,30.0898,30.4062,654708.89,0.077854
,MACK,,5.800000191,740805760,-0.293190204,,Health Care,,,,0.032028525,-0.205199538,0,,,,,0.0545,0.032028525,-0.214317278,-0.059967566,-0.42345925,,,5.506,6.0194,6.7941,7.2384,266479.78,0.031688
,SBRA,,23.90999985,1560682624,0.645427841,,REIT,,,,0.161807577,0.021759068,3.71632E-05,,,,,-0.0108,0.161807577,0.159608017,0.364411599,-0.04611432,,,22.36,21.5005,21.0479,20.4501,1277728.93,0.15194
,AMRC,,4.949999809,231576560,1.247514032,,Industrials,,,,0.15384612,0.010108968,0,,,,,-0.0313,0.15384612,0.128033031,-0.091743122,-0.255639137,,,5.0055,4.7942,4.6888,5.2845,103959.9,0.012362
,FORM,,9.350000381,653346752,0.432958467,,Information Technology,,,,0.049382777,-0.024651535,0,,,,,-0.0311,0.049382777,0.225188462,0.12515041,0.460937538,,,9.6065,8.5758,7.9567,8.0181,271203.14,0.03225
,SAFT,,63.70000076,965585408,0.683138956,,Financials,,,,0.041871138,0.035095808,0,,,,,-0.0047,0.041871138,0.146723762,0.15670021,0.175273074,,,63.4315,61.562,59.1569,57.5072,905495.5,0.107676
,RRGB,,48.36000061,659970624,0.594470387,,Consumer Discretionary,,,,-0.019663515,0.068736393,0,,,,,-0.0274,-0.019663515,-0.283111943,-0.216715269,-0.474061966,,,48.855,50.596,56.9256,61.2564,529012.46,0.062907
,INBK,,23.64999962,130673952,1.038301864,,Financials,,,,-0.002109753,0.075508545,0,,,,,-0.0421,-0.002109753,-0.039051917,-0.113054209,-0.204291982,,,24.3035,24.397,24.075,26.2601,121348.15,0.01443
,SPOK,,18.47999954,379694208,0.870558405,,Telecommunication Services,,,,-0.012292868,0.220798733,0,,,,,-0.0415,-0.012292868,0.122762777,0.041982742,0.192480894,,,19.4895,18.5639,17.7529,17.6391,374183.04,0.044496
,RUSHA,,22.97999954,936290944,0.903572742,,Industrials,,,,0.077355819,0.045827635,0,,,,,0.0132,0.077355819,0.179127296,0.203141313,-0.064332246,,,22.3865,21.907,20.1071,20.6301,669177.6,0.079575
,BANC,,22.18000031,1101019392,0.364881842,,Financials,,,,0.225414356,0.058155197,0.244383532,,,,,0.0648,0.225414356,0.096633523,0.488970089,0.708572339,,,19.8545,19.5998,18.8596,16.5945,304863.66,0.036253
,PFS,,20.14999962,1331709312,0.911701956,,Financials,,,,0.050573477,0.063416993,0,,,,,0.002,0.050573477,0.042252924,0.045150109,0.117058126,,,19.923,19.8454,19.8891,19.7832,1216274.15,0.144632
,SAIA,,28.88999939,728241216,0.722108264,,Industrials,,,,0.167744529,0.06455828,0,,,,,0.1193,0.167744529,0.015113993,0.350631146,-0.318310555,,,25.8285,25.617,26.6604,25.4524,719447.67,0.085553
,PRAA,,27.86000061,1290718080,0.866570311,,Financials,,,,0.160833359,0.110674052,0,,,,,-0.0046,0.160833359,-0.155439532,-0.063529391,-0.555236257,,,26.673,25.9565,27.9172,32.2902,1268939.42,0.150895
,IPCC,,82.04000092,907077824,0.734221455,,Financials,,,,0.052469585,0.05295797,0,,,,,-0.0107,0.052469585,0.065976251,0.047244879,0.08681542,,,81.9935,79.5916,78.8366,79.5829,875038.64,0.104055
,EVER,,17.95999908,2250826496,0.691905386,,Financials,,,,0.237766975,0.050684937,0.066642187,,,,,0.1587,0.237766975,0.225074634,0.287952938,-0.060971981,,,15.9325,15.3718,15.0222,15.4294,1828040.64,0.21738
,ACOR,,25.28000069,1164580736,0.576611819,,Health Care,,,,-0.004332363,-0.005436291,0,,,,,-0.0125,-0.004332363,-0.017620818,-0.313416597,-0.251628135,,,25.4995,26.2213,26.9279,32.0958,922714.16,0.109724
,ACTG,,5.409999847,272650496,0.977683899,,Industrials,,,,0.2465437,-0.717112211,0,,,,,0.1294,0.2465437,0.137923694,0.44652402,-0.415010844,,,4.6405,4.7878,4.4743,4.7509,266961.86,0.031746
,MOH,,56.81000137,3226864640,0.516290617,,Health Care,,,,0.121397583,0.041307899,0,,,,,0.0711,0.121397583,0.081100133,0.034602104,-0.174633156,,,51.824,50.6052,54.8431,57.5649,813818.59,0.096775
,NPTN,,12.55000019,520511232,0.422828547,,Information Technology,,,,0.328042375,0.011292744,0,,,,,0.1276,0.328042375,0.055566616,0.399108118,0.424517547,,,10.941,9.9118,11.1671,10.3118,319580.23,0.038003
,RTRX,,17.93000031,657613888,0.48543987,,Health Care,,,,-0.001114232,0.135030603,0,,,,,-0.0105,-0.001114232,-0.169781071,0.19772879,-0.439862504,,,18.1175,17.7794,16.188,17.0993,641589.19,0.076294
,SHLD,,15.40999985,1646267776,-1.437797726,,Consumer Discretionary,,,,0.155172389,-0.787235235,0,,,,,0.0287,0.155172389,0.40028923,-0.090855507,-0.295059496,,,14.4175,13.5784,14.4164,17.2075,137650.93,0.016369
,AHT,,5.960000038,570291520,-0.031751452,,REIT,,,,0.12665408,-0.186739582,0.69069551,,,,,-0.0132,0.12665408,0.203871375,0.119734655,-0.268274526,,,5.7245,5.414,5.6011,5.835,460415.96,0.05475
,GOOD,,18.20000076,411023712,0.55713138,,REIT,,,,0.087088594,-0.000318716,0.02809181,,,,,0.0248,0.087088594,0.107278666,0.332619289,0.257753713,,,17.624,17.0844,16.8572,15.7714,401837.8,0.047784
,TROV,,5.630000114,168122048,0.237609811,,Health Care,,,,0.242825575,-0.181912851,0.003604524,,,,,0.1171,0.242825575,0.025170306,0.546703284,-0.297128595,,,5.009,4.9112,4.9125,4.9667,12851.69,0.001528
,NNI,,40.40999985,1716656256,1.094135151,,Financials,,,,0.217535448,0.14649817,0,,,,,0.0187,0.217535448,0.018446869,0.252750132,0.045055757,,,38.0645,36.1288,37.8517,35.5795,807634.26,0.096039
,NSR,,25.19000053,1373195648,0.583865806,,Information Technology,,,,0.092367785,0.111918502,0,,,,,0.0145,0.092367785,-0.182359302,0.024816949,-0.134066676,,,24.208,23.8112,24.2972,24.3413,911294,0.108366
,MRLN,,18.36000061,230223952,0.733047098,,Financials,,,,0.13684217,0.068980659,0,,,,,0.0246,0.13684217,0.427619931,0.194456726,0.370647472,,,17.3435,15.9954,15.2569,15.5628,150276.6,0.01787
,CNO,,17.37000084,3110940160,1.214584669,,Financials,,,,0.029028537,0.088879884,0,,,,,-0.055,0.029028537,-0.003713149,0.00623659,-0.070624016,,,17.762,18.5266,18.5024,18.4553,3076574.4,0.365849
,VG,,5.929999828,1265948544,0.310053676,,Telecommunication Services,,,,-0.01983477,0.018260616,0,,,,,0.0102,-0.01983477,0.095966175,0.15594536,0.147001884,,,5.863,5.349,4.9291,5.3148,994411.76,0.11825
,FPO,,10.10999966,587688896,0.594966164,,REIT,,,,0.103711771,-0.083772214,0.178665959,,,,,-0.0088,0.103711771,-0.262531425,0.062021355,-0.020347134,,,9.7435,9.4068,9.0675,9.7818,579434.43,0.068903
,CONN,,7.110000134,218264048,2.429236573,,Consumer Discretionary,,,,-0.048192726,0.024873542,0,,,,,0,-0.048192726,-0.406288738,-0.422889585,-0.795336794,,,7.2185,8.326,10.9143,15.4801,142605.27,0.016958
,CSBK,,14.97999954,355603456,0.874105655,,Financials,,,,0.014217947,0.013382885,0,,,,,-0.004,0.014217947,-0.165686153,0.046580938,0.123922488,,,15.025,14.9662,14.9857,14.721,324137.24,0.038545
,KRO,,5.650000095,654725376,0.683187206,,Materials,,,,0.090733645,-0.299056684,0,,,,,-0.0088,0.090733645,0.037414064,0.260752482,-0.369032044,,,5.576,5.6514,5.8586,5.8717,122881.85,0.014612
,PJC,,41.34000015,665334016,1.210189187,,Financials,,,,0.130125699,0.041634727,0,,,,,0.0034,0.130125699,0.204420843,0.215882357,-0.105968887,,,40.787,40.4546,42.835,40.6576,626052.96,0.074447
,MCHX,,3.170000076,136502848,1.362293862,,Information Technology,,,,0.0063492,-0.028900496,0,,,,,0,0.0063492,0.159110338,-0.170157034,-0.319742451,,,3.1465,3.2752,3.7431,3.8849,104651.21,0.012445
,HTH,,21.78000069,2145400576,0.835520879,,Financials,,,,0.057795072,0.059842904,0,,,,,-0.0176,0.057795072,-0.380021373,0.363807159,-0.034574415,,,21.7155,21.0458,20.0764,19.4545,1614965.22,0.192042
,NYMT,,6.539999962,715536384,0.762946528,,REIT,,,,0.072131158,0.08197906,0.23059624,,,,,0.0203,0.072131158,-0.069028911,0.479023775,0.021847735,,,6.2825,6.1626,5.5704,5.396,711153.06,0.084566
,MGLN,,68.47000122,1683091968,0.644588672,,Health Care,,,,0.054195603,0.018966878,0,,,,,-0.0387,0.054195603,-0.158890016,0.201228092,0.113514382,,,68.5413,66.7771,67.3855,61.5942,492755.72,0.058596
,UCTT,,6.389999866,208311920,0.96143322,,Information Technology,,,,0.159709547,-0.079822604,0,,,,,0.0721,0.159709547,0.16356509,0.238372104,-0.131793512,,,5.9055,5.7898,5.5479,5.3014,202652.46,0.024098
,GNW,,2.859999895,1425624320,10.17378833,,Financials,,,,0.079245205,-0.05751866,0,,,,,-0.0069,0.079245205,0.119839744,0.028776951,-0.603328727,,,2.735,3.0892,3.0706,3.3284,1422729.88,0.169183
,ANGO,,16.59000015,603329344,0.876320725,,Health Care,,,,0.171610193,-0.073676178,0,,,,,0.0042,0.171610193,0.053097425,0.465547756,0.080078159,,,15.725,14.0838,12.9806,12.3026,442355.76,0.052602
,MNTA,,11.26000023,798512640,0.440172128,,Health Care,,,,0.064272241,-0.107008951,0,,,,,-0.0131,0.064272241,0.108096969,-0.093397733,-0.487249513,,,11.3585,11.2033,10.2621,12.3257,549526.28,0.065347
,TRS,,17.87000084,812436416,0.687069153,,Industrials,,,,0.003368971,-0.037307535,0,,,,,-0.0803,0.003368971,0.144625013,0.033545396,-0.227076116,,,18.8885,17.865,17.6889,18.0502,795911.93,0.094645
,KRG,,30.40999985,2535109632,0.66663309,,REIT,,,,0.1031087,0.003523713,0,,,,,0.0263,0.1031087,0.189717167,0.171324298,0.211407396,,,28.855,27.7728,27.6745,26.9189,2485166.02,0.295522
,BBG,,5.96999979,300384704,1.68442995,,Energy,,,,-0.128467172,-1.7395559,0,,,,,0.0223,-0.128467172,-0.143830535,0.613513436,-0.103603615,,,5.9845,6.8014,6.7719,5.5923,289204.71,0.034391
,WTI,,1.99000001,152252560,-4.692623888,,Energy,,,,-0.123348006,-6.437540255,0,,,,,-0.0524,-0.123348006,0.021795706,0.0205128,-0.512254891,,,2.134,2.1404,2.2409,2.413,69914.67,0.008314
,HURN,,61.47000122,1336790784,0.468250553,,Industrials,,,,0.049513429,0.056015497,0,,,,,-0.0373,0.049513429,0.145425093,0.095526654,-0.1774388,,,62.6065,60.5734,58.8806,56.8339,1139896.73,0.13555
,ENS,,62.34999847,2705091328,0.379140252,,Industrials,,,,0.082089546,0.049985743,0,,,,,-0.043,0.082089546,-0.047632689,0.29496602,0.017425422,,,62.813,62.197,59.2719,57.4997,1892997.44,0.225104
,GIG,,1.889999986,123847736,0.880435957,,Information Technology,,,,-0.045454562,0.011271906,0,,,,,-0.0735,-0.045454562,-0.077029891,-0.394230752,-0.010471194,,,2.0035,2.2376,2.4094,2.5149,78310.55,0.009312
,WFBI,,24,276550880,0.655615343,,Financials,,,,0.142857143,0.054228719,0,,,,,0.0435,0.142857143,0.39575311,0.135807152,0.42276425,,,22.7165,21.8089,21.8863,21.4131,191712,0.022797
,MGI,,6.960000038,374251776,-1.573806827,,Information Technology,,,,0.008695644,0.017100787,0.491380434,,,,,-0.0769,0.008695644,-0.357596522,0.313207507,-0.122320279,,,7.175,6.9564,6.5116,6.863,203531.28,0.024203
,MPW,,15.69999981,3734582784,0.570642061,,REIT,,,,0.013557136,0.043425467,0,,,,,-0.0063,0.013557136,0.078619669,0.475949058,0.250673247,,,15.339,15.0276,14.1258,12.6824,2432927.23,0.28931
,TAST,,12.10999966,433872960,0.255164553,,Consumer Discretionary,,,,0.022804012,0.026332593,0,,,,,-0.0539,0.022804012,0.067173627,-0.093562877,0.121296245,,,12.341,12.2164,13.0641,12.6752,52606.62,0.006256
,WSR,,16.17000008,462272544,0.509320735,,REIT,,,,0.086012799,0.022127639,0,,,,,0.0238,0.086012799,-0.024620052,0.544133849,0.380816272,,,15.696,14.8158,13.8481,12.6861,418220.88,0.049732
,SHO,,13.30000019,2880544256,0.700602313,,REIT,,,,0.112040146,0.114551619,0.079846022,,,,,-0.0242,0.112040146,0.200443265,0.128486436,0.027316087,,,12.89,12.3018,12.7427,12.8243,2857864.1,0.339841
,HIL,,4.170000076,215780960,0.53095046,,Industrials,,,,0.042500019,0.038673477,0,,,,,-0.028,0.042500019,-0.042534616,0.233727792,-0.125786144,,,4.3155,4.272,3.9966,3.688,76690.9,0.00912
,BWFG,,22.01000023,165752704,0.827268555,,Financials,,,,0.00686183,0,0,,,,,-0.0308,0.00686183,0.363411781,0.134216495,0.231867464,,,22.6195,21.9206,21.1169,20.2795,103501.23,0.012308
,GBNK,,16.87000084,367800672,0.60599128,,Financials,,,,0.013213287,0.062841103,0,,,,,-0.0076,0.013213287,0.054039455,0.08583509,0.054147575,,,16.9775,16.4548,16.1609,16.1897,250232.71,0.029756
,ANCX,,22.22999954,235114064,0.503525812,,Financials,,,,0.159499082,0.071603543,0,,,,,0.0246,0.159499082,0.059159586,0.208669448,0.158597021,,,21.086,20.5842,19.9457,19.9657,179307.18,0.021322
,TBBK,,5.300000191,201109312,1.443409085,,Financials,,,,-0.106239402,-0.094316866,0,,,,,-0.1107,-0.106239402,-0.171481409,0.17777782,-0.376470566,,,5.9375,6.2618,5.9093,6.0355,183565.5,0.021829
,AAWW,,43.22999954,1072580288,1.357222452,,Industrials,,,,0.075105708,-0.020021811,0,,,,,0.029,0.075105708,-0.208790502,0.176967059,-0.162858248,,,41.9335,42.8114,42.089,40.3974,1047679.05,0.124584
,ORA,,45.63999939,2254174976,0.434546558,,Utilities,,,,0.061642187,0.063893443,0,,,,,0.012,0.061642187,0.183551896,0.30116458,0.157574704,,,44.562,43.7338,42.7627,39.4901,959607.75,0.114111
,SIFI,,13.36999989,163390496,0.971996609,,Financials,,,,0.011346416,0.034830667,0,,,,,-0.0082,0.011346416,0.350812699,-0.036761342,0.148846987,,,13.3635,13.4414,13.74,13.5502,147016.52,0.017482
,QUAD,,25.36000061,1263581184,0.328273328,,Industrials,,,,0.117672984,-0.477135943,0,,,,,-0.0047,0.117672984,0.224005762,1.614171292,0.724906052,,,24.9685,22.206,17.9233,14.0898,341508.92,0.04061
,BBW,,13.63000011,215595952,0.468839972,,Consumer Discretionary,,,,0.03650194,0.111514153,0,,,,,-0.0271,0.03650194,-0.194077925,0.042048944,-0.218911202,,,13.7865,13.7996,13.3873,13.4287,170014.32,0.020217
,AAOI,,11.84000015,202200960,0.820367065,,Information Technology,,,,0.138461595,0.050138239,0,,,,,-0.0327,0.138461595,0.204924398,-0.276725746,-0.349450568,,,11.688,10.8466,12.2156,14.5832,192992,0.02295
,OCLR,,5.730000019,642962688,0.237867613,,Information Technology,,,,0.14829665,-0.022822475,0,,,,,0.0956,0.14829665,0.087759819,0.656069351,1.448718047,,,5.24,5.0128,4.982,4.2906,79910.19,0.009502
,HAYN,,37.97999954,474425248,0.599972302,,Materials,,,,0.258449276,0.024138682,0,,,,,0.029,0.258449276,0.131879397,0.204658213,-0.095069166,,,36.7425,32.562,34.1398,34.7333,466432.38,0.055465
,NATL,,32.43000031,646196096,0.521333995,,Financials,,,,0.079560563,0.031844823,0,,,,,0.0482,0.079560563,0.209537677,0.334234379,0.313822601,,,31.047,30.9048,30.6025,28.2505,180035.15,0.021409
,EDR,,48.13999939,3180518656,0.475238212,,REIT,,,,0.070038797,0.009350676,0,,,,,0.0316,0.070038797,0.504782917,0.253026412,0.557453516,,,46.77,44.5628,42.7639,39.9617,2764664.12,0.328758
,SEM,,11.5,1509862272,0.607964708,,Health Care,,,,0.035103542,0.105079121,0,,,,,-0.0095,0.035103542,-0.016288099,0.206715669,-0.225067393,,,11.2675,11.6618,11.8982,11.325,1122149.88,0.13344
,PSIX,,17.59000015,191365024,0.529704948,,Industrials,,,,0.029256875,0.054780125,0,,,,,0.0144,0.029256875,-0.160355012,0.471966564,-0.582086004,,,18.361,17.2699,14.8644,15.9311,18569.45,0.002208
,NWE,,60.74000168,2934423808,0.554669349,,Utilities,,,,-0.02190011,0.048539001,0,,,,,-0.025,-0.02190011,-0.027954889,0.105852571,0.18595733,,,61.524,60.4188,59.9264,57.6429,2922383.62,0.347513
,OPB,,32.27999878,1106025984,0.796089789,,Financials,,,,-0.036130273,0.058598985,0.000525304,,,,,-0.1168,-0.036130273,-0.196527185,-0.011912441,-0.149738492,,,34.447,35.6018,35.032,35.1613,194248.29,0.023099
,MSBI,,22.76000023,350386656,0.680351252,,Financials,,,,0.054191759,0,0,,,,,0.0183,0.054191759,-0.008406559,0,0,,,22.113,#N/A N/A,#N/A N/A,#N/A N/A,82800.88,0.009846
,NCBS,,36.36000061,312648160,0.288551194,,Financials,,,,-0.017297281,0.03503299,0.039021499,,,,,0.0148,-0.017297281,-0.04250659,0.136250019,0.085373153,,,37.775,37.2926,37.8502,34.8771,272809.08,0.032441
,FBIZ,,23.70999908,206370464,0.767522624,,Financials,,,,0.039912275,0.081053265,0,,,,,-0.0303,0.039912275,-0.006509874,0.043686049,0.113832346,,,23.691,23.9194,23.7862,23.8595,189063.54,0.022482
,PUB,,17.87000084,316919232,0.679611643,,Financials,,,,0.083307559,0.066174589,0,,,,,-0.0061,0.083307559,-0.008388574,0.165345239,0.04336806,,,17.617,17.3192,16.7477,16.4801,229379.32,0.027276
,EQBK,,22.59000015,185608816,0.659171276,,Financials,,,,0.031506874,0.061872061,0.088207017,,,,,-0.0013,0.031506874,0.16666999,0.026818189,0,,,22.174,22.516,21.8042,#N/A N/A,112611.15,0.013391
,ULH,,14.94999981,424794496,0.425594045,,Industrials,,,,0.192184996,0.082574045,0,,,,,0.0433,0.192184996,0.16600583,0.168779319,-0.267096454,,,14.004,13.934,14.7611,14.7067,38188.28,0.004541
,LHCG,,45.25999832,820205504,0.442218461,,Health Care,,,,0.081998478,0.052071097,0,,,,,-0.0083,0.081998478,0.082942013,0.193565414,0.153708867,,,45.175,43.3834,40.716,41.4221,625976.21,0.074438
,BOFI,,16.81999969,1060681536,0.60620364,,Financials,,,,-0.030547589,0.107148089,0.004855369,,,,,0.0048,-0.030547589,-0.127532157,-0.019813529,-0.405601225,,,17.062,17.5882,18.6443,19.2303,58812.41,0.006994
,UBNK,,13.14999962,659682368,0.976519997,,Financials,,,,0.038305583,0.067054998,0,,,,,0.0106,0.038305583,0.036816141,0.197710102,0.028922883,,,13.1965,13.159,12.9216,12.7607,651687.7,0.077495
,PHH,,14.60999966,781905088,1.619122345,,Financials,,,,0.097670864,-0.235322679,0,,,,,0,0.097670864,-0.14201536,0.189739412,-0.418160123,,,14.2115,13.9418,13.0494,13.5036,764891.94,0.090957
,CPLA,,59.86999893,692318400,0.286129896,,Consumer Discretionary,,,,0.171394995,0.059466858,0,,,,,0.0553,0.171394995,0.091647793,0.384334495,0.223294313,,,56.2065,53.6952,52.8926,49.5088,48184.33,0.00573
