Cusip,Ticker,Cntry of Incorp,Today's Closing Price,Market Cap,VYSVX BM,DPB_Current,GICS_SECTOR_NAME,Type,me date,ff adjust,Total Return:M-1,VYSVX EP,VYSVX SP,VYSVX OCFP,EBITDA/EV,LCR1,LCR2,R1W,R1M,R3M,R6M,R1Y,MA5,MA10,MA20,MA50,MA100,MA200,RMV,
,MANT,,26.95000076,1004402304,1.132072274,,Information Technology,,,,-0.063355675,-0.030404152,0,,,,,-0.0378,-0.063355675,-0.151221023,-0.070320404,-0.035365269,,,28.6625,28.5622,28.9843,29.1748,645452.5,0.080839
,FVE,,3.769999981,183272672,1.693531177,,Health Care,,,,-0.187499981,0.012980659,0,,,,,-0.0208,-0.187499981,-0.260451166,-0.224279861,-0.270793051,,,4.0645,4.4104,4.693,5.0578,162211.79,0.020316
,UNIS,,2.295000076,251022144,0.02442414,,Health Care,,,,-0.099999953,-0.230652958,0,,,,,-0.0234,-0.099999953,-0.218459449,-0.436117941,-0.308734903,,,24.3875,24.249,26.648,34.2622,41050.72,0.005141
,FSP,,11.22000027,1124102784,0.900935408,,REIT,,,,-0.076543159,0.013907981,0,,,,,-0.0009,-0.076543159,-0.109151222,-0.081715936,-0.064500833,,,11.671,12.0006,12.2708,12.2245,1009407.3,0.126422
,MDAS,,20.71999931,1245264128,0.379112348,,Health Care,,,,-0.099130465,0.02322961,0,,,,,-0.0105,-0.099130465,-0.215770832,-0.161473085,-0.184893814,,,21.692,22.181,22.6736,22.5824,73290.54,0.009179
,PLMT,,14.14000034,180873520,0.615783891,,Financials,,,,0.010000025,0.160133999,0,,,,,-0.0098,0.010000025,-0.009914934,0.00734995,0.088463266,,,13.965,13.7214,13.7942,13.5218,63248.22,0.007921
,EAC,,12.98999977,179290736,0.941359246,,Industrials,,,,-0.01665407,-0.067092145,0,,,,,-0.0973,-0.01665407,-0.178144962,-0.327291552,-0.170498091,,,13.8035,13.7942,14.7422,17.0592,78628.47,0.009848
,VRNT,,55.61000061,3368268288,0.302958062,,Information Technology,,,,0.109315768,0.019786725,0,,,,,0.0396,0.109315768,0.110555263,0.184956323,0.500539626,,,54.048,50.7998,49.197,47.2,182934.93,0.022911
,VSI,,44.38999939,1371257472,0.419807375,,Consumer Discretionary,,,,0.132686934,0.047344865,0,,,,,-0.0381,0.132686934,0.042354721,-0.065867025,0.014628557,,,43.656,41.537,42.5226,44.6882,679085.19,0.085051
,MACK,,8.779999733,918278976,-0.083974481,,Health Care,,,,0.257879615,-0.128670048,0,,,,,0.2211,0.257879615,0.20337144,0.742063452,1.316622644,,,7.359,6.8055,6.9988,6.1654,48272.65,0.006046
,SBRA,,24.31999969,1295359744,0.506208388,,REIT,,,,-0.146067413,0.017010719,4.47752E-05,,,,,-0.0537,-0.146067413,-0.15861391,-0.104329139,0.11453255,,,26.691,27.5115,28.071,27.974,68966.17,0.008638
,ARO,,3.289999962,260222176,0.586041491,,Consumer Discretionary,,,,-0.214797156,-0.908954047,0,,,,,0,-0.214797156,-0.015804419,-0.344621519,-0.64999999,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,258725.6,0.032404
,CQB,,14.19999981,666908608,0.564176278,,,,,,0.021582748,-0.083341254,0,,,,,0.0216,0.021582748,0.278102619,0.140562251,0.121642968,,,13.9575,12.7528,11.606,11.5586,666221.4,0.08344
,AMRC,,6.849999905,317442336,0.856297227,,Industrials,,,,-0.185493457,0.001754681,0,,,,,-0.0512,-0.185493457,-0.37379232,-0.09391535,-0.316367306,,,7.4815,7.7012,7.2639,7.9973,136047.85,0.017039
,CYNO,,21,454514976,0.743913882,,Health Care,,,,-0.067909482,0.024932072,0,,,,,-0.0515,-0.067909482,-0.177886021,-0.283276432,-0.07935114,,,22.5245,22.2709,21.7566,24.5146,307452.77,0.038506
,CEVA,,13.43999958,275088256,0.659475627,,Information Technology,,,,-0.113456483,0.011865283,0,,,,,-0.0488,-0.113456483,-0.035018335,-0.234624146,-0.22086959,,,14.374,14.5558,14.7516,15.7888,282051.84,0.035325
,CYTK,,3.519999981,128862904,0.610703294,,Health Care,,,,-0.177570138,-0.179842292,0,,,,,-0.033,-0.177570138,-0.167553935,-0.629473686,-0.535006618,,,3.824,4.1096,4.4043,6.4174,121774.4,0.015251
,FORM,,7.170000076,404364544,0.702484974,,Information Technology,,,,0.018465925,-0.115094166,0,,,,,0.0199,0.018465925,0.186787509,0.122065763,0.045189495,,,7.5923,7.2797,7.2924,6.8509,398286.33,0.049883
,LF,,5.989999771,419403392,0.818281393,,Consumer Discretionary,,,,-0.075617322,0.149004517,0,,,,,-0.0212,-0.075617322,0.194412672,-0.201333364,-0.364118925,,,6.239,6.4676,6.8479,7.0813,391117.05,0.048985
,SAFT,,53.90999985,808980800,0.874499113,,Financials,,,,-0.023369581,0.077697765,0,,,,,0.0019,-0.023369581,-0.294731764,0.025525961,0.065075114,,,54.12,53.4294,52.561,53.6079,699212.7,0.087572
,SPOK,,13.01000023,282001312,0.976438691,,Telecommunication Services,,,,-0.120945942,0.081410969,0,,,,,-0.0753,-0.120945942,-0.138190637,-0.271558623,-0.049735975,,,14.3905,14.705,14.9225,15.1542,281848.64,0.0353
,RJET,,11.10999966,555081792,1.059303347,,Industrials,,,,0.094581288,0.098904343,0,,,,,0,0.094581288,0.057518126,0.215536022,-0.06599418,,,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,553078.02,0.069269
,RUSHA,,33.45000076,1293478784,0.550147383,,Industrials,,,,-0.087810133,0.047847712,0,,,,,-0.0071,-0.087810133,-0.047223352,0.02986457,0.261788022,,,35.103,35.599,34.5526,32.3711,188442.72,0.023601
,BANC,,11.63000011,329855520,0.833146585,,Financials,,,,-0.02277041,-0.000157645,0.249351595,,,,,-0.0186,-0.02277041,-0.127316299,-0.032331972,-0.125856374,,,11.917,11.8818,11.3724,12.0873,323244.22,0.040484
,PFS,,16.37000084,1068928448,1.049079551,,Financials,,,,-0.03762489,0.06254675,0,,,,,-0.0037,-0.03762489,0.04691565,-0.09302612,0.045481304,,,16.822,16.8572,17.0276,17.5539,986685.38,0.123576
,PKT,,9.579999924,198010992,0.726530414,,,,,,-0.068999032,-0.069031521,0,,,,,-0.0052,-0.068999032,-0.062803886,-0.077959614,-0.381536471,,,9.943,9.9588,9.789,10.6363,170213.61,0.021318
,IPCC,,64.01000214,736156864,0.924785248,,Financials,,,,-0.059024254,0.051057053,0,,,,,-0.0123,-0.059024254,0.025142882,-0.043354342,0.010854028,,,67.276,66.9728,66.2247,68.0655,468657.66,0.058696
,EVER,,17.65999985,2170946816,0.635413049,,Financials,,,,-0.064618611,0.049756171,0.069094277,,,,,-0.0275,-0.064618611,-0.161392459,-0.101553943,0.187810982,,,18.626,18.7836,19.1244,18.7676,1609161.54,0.201537
,ACTG,,15.47999954,775627520,0.665581087,,Industrials,,,,-0.1298483,-0.113664095,0,,,,,-0.0433,-0.1298483,-0.304548341,0.028499705,-0.30734714,,,16.931,17.0048,16.5784,15.756,774975.24,0.097061
,VIAS,,15.69999981,328456704,0.595862425,,,,,,0.474178439,-0.05186985,0,,,,,-0.0188,0.474178439,0.459791452,0.253993549,0.086505191,,,13.002,11.4358,11.1282,11.9733,76047.66,0.009524
