EQY_FUND_CRNCY,REL_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Total Cash Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3781 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20140423
ACFC US Equity,48426100,US0484261005,B3R7WM0,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,4.300000191,Common Stock,66688960,-4.231616705,14.36170749,-13.82764754,24240.29508,-9161000,0,68206000,0,-716000,34299000,-0.47,4.1745,4.0926,4.102,4.1532,1.18,5.91,,,20140430
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,29.82999992,Common Stock,1110046720,1.428085952,8.330388337,15.15567066,304742.9836,-16695000,0,1135623936,0,,2116096992,-1.14,29.2345,29.3204,29.2428,28.8473,0.88,3.23,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,4.710000038,Common Stock,47414060,3.51933324,-3.086421631,11.34751813,5495.033333,-24919000,1371000,83198000,4000,,38168000,2.42,4.595,4.5798,4.603,4.7839,-3.66,4.90,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,4.829999924,Common Stock,234802928,-0.617288251,-4.733732541,2.11416288,205818.9836,9196000,0,316948992,0,,1395118976,9.32,4.915,5.3972,5.4063,5.3455,-5.85,-11.05,,,
MCPIQ US Equity,608753109,US6087531090,B458HM7,Materials,Metals & Mining,Diversified Metals & Mining,4.75,Common Stock,1142650624,1.279316462,-6.311640253,-18.66438569,4381296.23,-379758008,11384000,1347720960,2000,85372000,556109008,-41.68,4.794,4.9452,5.0307,5.5992,-5,-2.06,,,
UNIS US Equity,9.05E+107,US90478E1038,B61FS45,Health Care,Health Care Equipment & Supplies,Health Care Supplies,3.25,Common Stock,333623904,-20.14742352,7.260727085,64.14141256,1401896.541,-63588000,0,26419000,0,,8112000,-11.38,34.855,41.35,42.6195,37.508,-9.22,-30.41,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,12.18000031,REIT,1220282624,-1.815427514,-4.804259818,-15.40419239,290590.2295,16662000,0,1032401984,0,,232710000,2.79,12.2695,12.3152,12.1695,12.5543,0.66,3.18,,,
MDAS US Equity,584045108,US5840451083,B29YMY4,Health Care,Health Care Technology,Health Care Technology,22.82999992,Common Stock,1392271360,-7.608252652,-0.86412528,21.89001859,569149.0492,27415000,0,485908000,0,121083000,678446016,2.58,23.9295,24.063,22.3922,22.8336,-5.47,3.58,,,
PLMT US Equity,697062206,US6970622063,2166591,Financials,Banks,Regional Banks,13.51000023,Common Stock,172826800,-4.11639402,0.670641968,0.72317991,5846.57377,28584000,0,123817000,0,-26299000,57374000,-0.37,13.7835,13.7538,13.1862,13.1394,-0.52,11.19,,,
EAC US Equity,29482P100,US29482P1003,B3X9J74,Industrials,Aerospace & Defense,Aerospace & Defense,15.81000042,Common Stock,218012528,-18.12531923,-19.33673412,-20.19181804,22218.93443,9866000,,192016992,0,16775000,318221000,2.91,17.488,19.0249,19.5821,18.5211,-7.27,-18.17,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,10.31000042,Common Stock,146337584,-7.864157228,2.587066905,-7.200713427,89305.32787,-4747000,0,84265000,0,-221000,74594000,-4.27,10.9045,10.8434,10.2128,9.8142,-1.06,8.53,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",56.27999878,Common Stock,8717639680,4.590219927,18.23529534,31.86503837,375700.9016,253000000,0,4767000064,0,,4283000064,8.67,54.011,53.4162,51.1238,48.2612,3.29,17.77,,,
9876547D US Equity,487169104,US4871691048,B034L83,,,,14.57999992,Common Stock,964196736,-1.353178707,38.85714213,48.02029806,32591,9242000,0,464515008,0,,107176000,-2.47,14.566,14.1828,12.7371,11.5291,1.46,27.56,,,
XPL US Equity,8342EP107,US8342EP1070,B021PD8,Materials,Metals & Mining,Precious Metals & Minerals,1.059999943,Common Stock,41565448,-16.53543632,19.10111908,-12.39670171,83862.62295,-2005000,0,8068000,0,,,13.21,1.2218,1.3516,1.1348,1.0292,1.92,8.18,,,
CORT US Equity,218352102,US2183521028,B00SCY1,Health Care,Pharmaceuticals,Pharmaceuticals,4.420000076,Common Stock,445046528,1.376145434,161.5384572,149.7175211,559818.5246,-46011000,0,21017000,0,0,10357000,-48.87,3.9895,3.8709,3.4408,2.6079,9.95,28.49,,,
