EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3657 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20160222
ACFC US Equity,48426100,US0484261005,B3R7WM0,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,5.550000191,Common Stock,86075288,0,4.716980962,37.03703529,16889.16393,7718000,0,80293000,0,,36646000,8.63,5.5973,5.6642,5.8893,5.4374,-0.36,-4.97,,,20160229
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,29.12999916,Common Stock,1097802368,1.040580083,7.885501758,-9.50776211,158373.8361,51127000,0,1183736960,0,102035000,1550116960,11.61,27.893,28.7672,29.2975,28.8324,1.15,-12.47,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,5.130000114,Common Stock,51755948,-7.233274506,5.773200316,14.00000254,4120.416667,4535000,2106000,58983000,26893000,,37263000,-0.59,5.2005,5.3744,5.2935,5.0625,-3.93,-9.68,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,2.369999886,Common Stock,116215120,-6.69291649,-29.88166256,-34.89011491,183158.8525,-104559000,0,190464000,0,,1353340000,-2.55,2.327,2.684,3.0335,3.5543,0,-33.98,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,9.510000229,REIT,952782272,-2.56147535,-5.249783418,-19.43572964,380632.9344,35014000,0,935656000,0,0,243867000,12.16,9.2295,9.6956,10.1519,10.7286,2.48,-7.33,,,
FSNN US Equity,36113B400,US36113B4005,BMM28B4,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers,2.019999981,Common Stock,23882360,-4.265398988,-4.716976888,-45.76908296,162695.3607,-11685530,1614775,4426356,242,,98377826,-11.39,1.8865,2.396,2.3646,2.4653,7.45,-11.01,,,
EAC US Equity,29482P100,US29482P1003,B3X9J74,Industrials,Aerospace & Defense,Aerospace & Defense,1.700000048,Common Stock,23529532,-4.494377809,-49.85250752,-72.35772323,19940.27869,-72456000,0,106009000,0,,309816000,-5.71,1.7143,1.8729,2.2979,2.9684,0,-33.85,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,11.82999992,Common Stock,152945072,5.249111785,-19.13875713,-7.937746517,55788.95082,-4440000,0,50034000,0,-168000,94761000,-4.82,11.079,11.5058,12.6264,13.6975,1.72,-16.81,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",46.15000153,Common Stock,6260354560,19.3123091,-9.916061022,-23.76940729,807319.1311,124000000,0,3991000064,0,-242000000,4327999936,7.31,42.0265,42.519,46.2862,50.4637,-1.11,-6.37,,,
