EQY_FUND_CRNCY,REL_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Total Cash Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3712 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20110722
ACFC US Equity,48426100,US0484261005,B3R7WM0,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,5.460000038,Common Stock,14356524,-20.29196914,-43.22758552,-50.22511814,3133.134615,-12300000,0,54081000,0,,50066000,-55.13,6.4062,7.5246,8.7676,8.7051,-14.02,-44.23,,,20110729
AQQSQ US Equity,02970Q203,US02970Q2030,2448880,Financials,Real Estate Management & Development,Real Estate Operating Companies,16.76000023,REIT,48986128,-0.769681264,-5.577463499,46.8886981,1030.208333,-20903000,240000,-16349000,1000,-15247000,65348000,-13.84,16.8896,16.8968,17.5384,15.92,-2.61,-1.64,,,
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,40.79999924,Common Stock,1502341632,-8.170157648,2.797375526,2.185188156,174661.9206,133733000,0,1031057024,0,,2808407040,-8.11,44.0695,43.8764,43.5624,42.2332,-6.42,-6.17,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,3.25999999,Common Stock,32817442,6.18892708,-40.7272729,-34.66933587,2974.229508,693000,1087000,105005000,4000,,49586000,-7.06,3.3231,3.5321,4.0418,3.9124,4.82,-23.29,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,4.949999809,Common Stock,235409136,-16.52613908,-22.65625413,35.61642959,579222.1111,23976000,0,229628992,0,,1251642016,-34.34,5.603,6.1644,7.1503,6.8949,-10.81,-40.93,,,
MCPIQ US Equity,608753109,US6087531090,B458HM7,Materials,Metals & Mining,Diversified Metals & Mining,63.63000107,Common Stock,5338270720,11.59242469,38.65766379,395.1750909,6193913.381,-42245000,0,649867008,2000,,58218000,-11.17,57.295,56.8242,59.6325,50.6224,5.47,-13.19,,,
UNIS US Equity,9.05E+107,US90478E1038,B61FS45,Health Care,Health Care Equipment & Supplies,Health Care Supplies,4.480000019,Common Stock,286053824,-7.053944823,-5.08474114,-24.57912498,268261.3175,-39842000,0,61363000,0,,8607000,4.02,48.48,47.201,49.781,51.7022,-8.2,-19.57,,,
MKTG US Equity,761248103,US7612481033,B5MYYV3,,,,14.56999969,Common Stock,683596672,-15.1920871,,,124754.2698,9592000,,-4640000,62028000,,104832000,-0.07,16.3385,16.3006,#N/A N/A,#N/A N/A,-9.73,-8.82,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,12.60999966,REIT,1026925632,0.181671942,-12.25508274,8.575847742,217155.0159,20302000,0,931100992,0,,130865000,3.41,13.1185,12.9342,13.3615,13.6775,-3.74,-9.45,,,
MDAS US Equity,584045108,US5840451083,B29YMY4,Health Care,Health Care Technology,Health Care Technology,12.67000008,Common Stock,742645696,-4.01514955,-35.91300059,-46.40439762,641009.4286,-53814000,0,424734016,0,,428484000,-9.79,13.04,13.5626,14.5578,16.9567,-1.78,-20.91,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,8.109999657,Common Stock,111277304,-4.250302231,0.371283827,4.375800213,89552.28571,-12355000,0,93370000,0,158000,51146000,-2.71,8.4813,8.3936,8.5733,8.3714,-4.48,-8.26,,,
