EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3648 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20160524
ACFC US Equity,48426100,US0484261005,B3R7WM0,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,6.269999981,Common Stock,97241808,-2.336450056,7.363010567,43.80733461,14104.78125,8846000,0,82832000,0,-100000,38770000,-4.63,6.4025,6.242,5.9529,5.9414,-1.88,12.97,,,20160531
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,35.93000031,Common Stock,1355025536,6.30177845,8.748766782,29.83426464,143121.7188,52585000,0,1189527040,0,,1570448992,5.88,34.5555,33.106,30.9209,29.854,2.8,24.24,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,5.880000114,Common Stock,71173744,1.189582915,3.521131904,25.10639049,5308.790323,4577000,2104000,83385000,3500000,,37228000,2.04,5.7786,5.5545,5.4115,5.272,2.26,14.62,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,2.00999999,Common Stock,99438744,-17.62295314,-44.01114099,-56.58747428,222755.3438,-38237000,0,183132992,0,,1375648992,16.42,2.1765,2.2566,2.3565,2.8257,-1.95,-15.19,,,
UNIS US Equity,9.05E+305,US90478E3018,BZ6VNV3,Health Care,Health Care Equipment & Supplies,Health Care Supplies,3.529999971,Common Stock,59839428,-35.8035947,-52.59756633,-85.62118093,92807.48281,-100487000,,-49223000,2450000,,14061000,-6.8,3.6758,5.3123,7.1031,8.1559,33.71,-58.05,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,11.40999985,REIT,1143138304,7.438794448,13.14878462,5.400546404,270391.9688,25060000,0,913084032,0,,243173000,7.54,11.084,10.8216,10.2011,10.4042,1.69,22.10,,,
FSNN US Equity,36113B400,US36113B4005,BMM28B4,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers,1.350000024,Common Stock,19995662,-22.85162867,-40.52863281,-55.73770344,23722.51563,-6499649,2691214,12510004,174,,109615896,36.3,1.4465,1.6365,1.8313,2.1381,2.27,-33.17,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,10.47999954,Common Stock,137098624,-10.12007136,-26.30098913,-29.33243698,62017.64063,-2847000,0,49589000,0,-249000,98113000,6.97,10.585,11.109,11.2268,12.5333,1.06,-11.41,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",45.90999985,Common Stock,6169006592,-4.114455256,-6.857376761,-20.10093878,543941.0938,136000000,0,3996000000,0,,4362999872,7.04,47.591,47.7062,45.1144,47.4552,0.95,-0.52,,,
CORT US Equity,218352102,US2183521028,B00SCY1,Health Care,Pharmaceuticals,Pharmaceuticals,5.949999809,Common Stock,653289920,24.73794199,12.68938585,-2.777779076,230397.1563,-1597000,0,20168000,0,,56245000,-8.24,5.141,4.9238,4.357,4.4814,8.58,55.76,,,
CKEC US Equity,143436400,US1434364006,2845469,Consumer Discretionary,Media,Movies & Entertainment,29.87999916,Common Stock,728345472,-0.366790968,36.75056585,7.366148914,674843.125,1386000,0,290696000,0,,826222000,0.8,29.8455,29.9596,26.671,24.7619,0.34,36.19,,,
VRNT US Equity,92343X100,US92343X1000,2849193,Information Technology,Software,Application Software,32.99000168,Common Stock,2051912448,-2.511815811,-29.58377214,-48.98716157,694905.3281,18071000,0,1060137024,0,9514000,1130265984,0.42,32.9065,33.854,34.7614,40.4257,-0.54,-7.15,,,
VSI US Equity,9.28E+105,US92849E1010,B55C7L5,Consumer Discretionary,Specialty Retail,Specialty Stores,30.23999977,Common Stock,733894400,10.48592928,-0.852459767,-23.82871741,349269.2969,49253000,0,449447008,0,,1266488000,1.09,28.768,29.3602,29.5732,31.1314,4.1,9.60,,,
BCBP US Equity,55298103,US0552981039,2848253,Financials,Banks,Regional Banks,10.47999954,Common Stock,117605480,3.557308901,-3.679996219,-7.911113375,9764.03125,7219000,949000,132311000,0,,77205000,-2.29,10.2047,10.1344,10.1288,10.3783,0.19,8.09,,,
MACK US Equity,590328100,US5903281005,B72XX62,Health Care,Biotechnology,Biotechnology,6.670000076,Common Stock,851926592,-5.790958359,-29.11795766,-43.47457654,2001496.984,-152013000,0,-217196992,0,,95697000,-19.19,6.534,7.413,6.8685,8.0534,-3.61,15.20,,,
CVGW US Equity,128246105,US1282461052,2859200,Consumer Staples,Food Products,Packaged Foods & Meats,56.61000061,Common Stock,985013952,-0.979530482,0.05302011,13.97130305,161897.2656,28276000,0,188292000,0,-20578000,866608000,18.35,56.7515,56.5038,53.9484,52.3787,-1.6,5.69,,,
SBRA US Equity,78573L106,US78573L1061,B5NLBP6,Financials,Real Estate Investment Trusts (REITs),Health Care REITs,20.94000053,REIT,1366821120,1.285952128,6.087610646,-14.03281311,465586.7031,44201000,10242000,1007366016,58000,,245851000,-1.46,21.0255,20.488,19.7399,20.9356,3.87,7.26,,,
RGC US Equity,758766109,US7587661098,2866824,Consumer Discretionary,Media,Movies & Entertainment,21.03000069,Common Stock,3297380608,0.8633108,14.78433922,3.909988077,1007264.875,170900000,0,-873699968,0,,3223100032,5.91,20.959,20.9148,19.8413,19.3389,0.14,8.00,,,
DDE US Equity,260095104,US2600951048,2857486,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,1.079874992,Common Stock,35651656,-0.011578754,1.87500478,-5.008518002,22740.29688,1986000,0,114828000,0,,183325000,-1.84,1.066,1.0746,1.0415,1.0312,2.85,-3.58,,,
AMRC US Equity,2.36E+111,US02361E1082,B3SWPT2,Industrials,Construction & Engineering,Construction & Engineering,4.679999828,Common Stock,218945104,4.697987651,-31.47877188,-35.53719448,78873.20313,2341000,0,288895008,0,,649174992,-6.62,4.5825,4.5572,4.8175,5.5361,-5.07,-8.95,,,
FBMS US Equity,318916103,US3189161033,2184300,Financials,Banks,Regional Banks,16.80999947,Common Stock,91312152,2.219761488,-6.105523248,2.455905399,3375.015625,9374000,342000,90074000,17123000,,49338000,2.74,16.4862,16.1244,16.7788,16.9595,2.69,-6.41,,,
CPSI US Equity,205306103,US2053061030,2872122,Health Care,Health Care Technology,Health Care Technology,41.34999847,Common Stock,559287680,-18.28242639,-12.93648549,-16.50306114,182994.5625,11172536,0,163288000,0,,205577120,-3.46,43.943,48.9848,51.1487,48.0624,-3.64,-25.97,,,
CME US Equity,12572Q105,US12572Q1058,2965839,Financials,Diversified Financial Services,Specialized Finance,97.88999939,Common Stock,33149759488,6.506360014,4.63824078,9.615402415,1756953.953,1284400000,0,20841400320,0,7299999744,3418300032,0.13,95.379,94.265,92.3125,92.9799,-0.06,7.74,,,
NXST US Equity,65336K103,US65336K1034,2949758,Consumer Discretionary,Media,Broadcasting,53.22000122,Common Stock,1632672768,4.153338035,-8.1487119,-4.737159264,506063.1563,86745000,0,111404000,0,,954138992,-10.6,51.5005,49.021,46.9055,49.5891,3.44,19.66,,,
CYNO US Equity,232577205,US2325772059,B0T4N70,Health Care,Health Care Equipment & Supplies,Health Care Equipment,47.77000046,Common Stock,1123679104,-2.390678794,13.57584141,33.80952223,335858.7656,18661000,0,411628992,0,,359214000,1.83,47.7055,46.0248,42.2382,39.314,-3.86,17.46,,,
CEVA US Equity,157210105,US1572101053,2986937,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,27.04000092,Common Stock,552702528,17.25933019,6.498627671,31.64556821,112795.4688,7581000,0,187272000,0,,62173000,0.48,26.3685,23.9802,22.2351,22.1775,-2.31,37.89,,,
CYTK US Equity,23282W605,US23282W6057,BBBSBJ5,Health Care,Biotechnology,Biotechnology,8.149999619,Common Stock,322911648,0.122841214,-31.04907082,27.9434814,311439.8438,-41084000,0,57906000,0,,32665000,16.44,7.8785,7.734,7.4822,8.1856,0.37,29.37,,,
BDSI US Equity,09060J106,US09060J1060,2820165,Health Care,Pharmaceuticals,Pharmaceuticals,2.25,Common Stock,120588704,-33.43195492,-63.29526985,-73.59155071,1287380.391,-48212000,,19796906,2093.155029,,38217000,4.89,2.2115,2.9414,3.3458,4.6433,12.5,-42.01,,,
APPY US Equity,92262A206,US92262A2069,BYZCF36,Health Care,Biotechnology,Biotechnology,3.339999914,Common Stock,12949047,8.090615111,18.60795214,-23.90933348,93934.19922,-6011681,0,16678031,0,,186798,5.09,3.3324,3.0377,2.4779,2.5763,-1.76,98.69,,,
FORM US Equity,346375108,US3463751087,2891826,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,7.170000076,Common Stock,426169408,-6.883113586,-17.68082612,-22.98603917,282499.4063,-16106000,0,286211008,0,-3339000,265140000,25.38,7,7.2546,7.3958,7.558,-1.1,-5.66,,,
SAFT US Equity,78648T100,US78648T1007,2958538,Financials,Insurance,Property & Casualty Insurance,59.40999985,Common Stock,900556224,6.185363539,8.669692018,11.91052575,60775.375,33888000,0,658331008,0,1298000,799742992,3.65,59.329,57.3282,56.4459,55.8971,0.12,8.68,,,
RRGB US Equity,75689M101,US75689M1018,2966144,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,50.70999908,Common Stock,692041152,-21.8162217,-24.85181304,-39.18935189,300666.8438,45364000,0,392332992,0,,1264817024,-6.47,56.6687,60.7467,61.6159,67.2621,1.97,-22.10,,,
CAPR US Equity,14070B101,US14070B1017,BGPGP21,Health Care,Biotechnology,Biotechnology,3.190000057,Common Stock,57267912,-19.03553272,-24.40757782,-45.93220329,16882.90625,-13647549,0,-1082905,0,,4944835,23.82,3.4102,3.2597,2.8056,3.4166,-1.84,29.91,,,
STX US Equity,,IE00B58JVZ52,B58JVZ5,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",22.55999947,Common Stock,6733793280,7.052343808,-33.86178458,-56.11160243,7565553.563,316000000,0,1683000064,0,,11432999936,7.98,20.1138,26.2793,28.9491,35.1005,8.05,-25.68,,,
INBK US Equity,320557101,US3205571017,B0406N0,Financials,Banks,Regional Banks,25.59000015,Common Stock,141393088,3.185487661,-20.29023467,8.385041207,26035.67188,9298000,0,107830000,0,,54486000,-6.67,24.627,24.0338,24.6475,27.6929,0.59,-1.79,,,
NPO US Equity,29355X107,US29355X1072,2951292,Industrials,Machinery,Industrial Machinery,50.56999969,Common Stock,1098603776,-13.31277317,1.64021362,-15.02888164,155279.1094,-66100000,0,406400000,0,,1221800000,-12.22,49.0075,54.4852,50.673,48.4113,3.15,-1.77,,,
SJM US Equity,832696405,US8326964058,2951452,Consumer Staples,Food Products,Packaged Foods & Meats,129.1499939,Common Stock,15457226752,2.231266866,7.676963187,11.39608082,773601.4375,407400000,0,7325499904,0,,7450700032,18.01,128.816,128.4354,127.0879,122.2968,0.95,1.76,,,
EEQ US Equity,29250X103,US29250X1037,2020341,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,21.86000061,Common Stock,1705182848,6.006603249,-6.705670199,-32.98347541,300434.1472,-639400000,0,700000,0,,,5.26,20.4761,18.9854,17.4415,20.072,2.82,34.59,,,
SPOK US Equity,84863T106,US84863T1060,BNZB473,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,17.54000092,Common Stock,361401824,4.035266392,-3.564925434,4.897620984,92621.51563,83761000,0,330091008,0,,186877000,9.26,16.9175,16.949,16.9924,17.1594,4.28,0.52,,,
MGNX US Equity,556099109,US5560991094,BFDV8K0,Health Care,Biotechnology,Biotechnology,25.55999947,Common Stock,882985344,24.31906678,-26.08444733,-20.98917876,302064.1094,-95632000,0,286255008,0,,32421000,5.59,20.5715,20.1688,19.4864,24.2973,8.95,59.95,,,
WHG US Equity,961765104,US9617651040,2958293,Financials,Capital Markets,Asset Management & Custody Banks,57.31999969,Common Stock,502115232,-0.399651686,0.311151262,5.064342129,19531.73438,25017000,0,129011000,0,-11178000,130457000,-8.74,56.959,58.004,53.5959,54.5746,1.27,16.75,,,
RNG US Equity,76680R206,US76680R2067,BDZCRX3,Information Technology,Software,Application Software,19.73999977,Common Stock,1427241984,3.459118711,-13.83675293,15.50614157,763499.1875,-28101000,0,111129000,0,,307975000,-0.1,18.77,17.7036,18.3971,19.4529,6.24,6.70,,,
WYNN US Equity,983134107,US9831341071,2963811,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,96.18000031,Common Stock,9790249984,9.529589278,55.07596362,-2.144502936,3540368.813,378774000,0,-84326000,0,,3981323008,-5.76,92.1285,93.501,82.258,75.4712,3.18,17.26,,,
SITO US Equity,82988R203,US82988R2031,BYX05B0,Information Technology,Software,Application Software,2.989812613,Common Stock,51889624,-0.999581741,11.14544792,,28688.625,-5212206,0,5000407,0,,21895903,21.08,2.9523,2.8142,2.6277,3.0473,12.4,7.16,,,
HNNA US Equity,425885100,US4258851009,2965033,Financials,Capital Markets,Asset Management & Custody Banks,33.25999832,Common Stock,168511520,8.241696571,13.30023681,72.61652962,7079.84375,13662000,0,30030000,0,9994000,49792000,0.63,33.28,30.0624,28.4221,27.8229,1.06,31.20,,,
NCT US Equity,65105M603,US65105M6030,BRS67K7,Financials,Real Estate Investment Trusts (REITs),Mortgage REITs,4.489999771,REIT,299279136,3.456212287,9.328799358,-2.023975737,246700.9063,95196000,5580000,191556976,61583024,,387040000,2.23,4.4285,4.326,3.9246,4.2553,1.58,31.20,,,
RUSHA US Equity,781846209,US7818462092,2966876,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,22.02000046,Common Stock,884078080,11.83341727,-9.494449129,-17.12457392,185180.5,51667000,0,852198016,0,,4857038016,-2.13,20.0055,18.8026,18.3911,21.3141,4.06,26.99,,,
DKS US Equity,253393102,US2533931026,2969637,Consumer Discretionary,Specialty Retail,Specialty Stores,42.90000153,Common Stock,4893495296,-7.42338933,10.68401569,-19.15418323,2131579.844,323924000,0,1804132992,0,10934000,7365999872,5.41,42.907,44.9274,42.4299,43.4246,0.68,1.35,,,
TZOO US Equity,89421Q205,US89421Q2057,BGDFSM1,Information Technology,Internet Software & Services,Internet Software & Services,8.100000381,Common Stock,114278992,6.159898558,-4.705877865,-32.83582007,45770.09375,12667000,0,21876000,0,1107000,134647000,-0.99,7.908,7.9036,7.8152,8.3214,-0.12,3.18,,,
BANC US Equity,05990K106,US05990K1060,BCD47X4,Financials,Banks,Regional Banks,20.05999947,Common Stock,985286720,-1.425065897,35.70856638,60.06491146,877369.8906,69185000,13488000,545280000,322249984,,515996008,-9.22,19.4905,18.717,16.7832,15.078,2.56,31.83,,,
HALO US Equity,40637H109,US40637H1095,2975098,Health Care,Biotechnology,Biotechnology,10.06000042,Common Stock,1299145728,-4.64454751,-43.48314129,-42.01728992,1766159.219,-36939000,0,29472000,0,,158890000,-14.21,9.442,10.1546,9.6042,13.0291,3.71,23.74,,,
PFS US Equity,74386T105,US74386T1051,2171603,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,20.42000008,Common Stock,1349553536,3.148035063,-0.374535255,16.31600093,186497.625,84893000,0,1214121984,0,,351461000,-3.82,19.7575,20.0138,19.4122,19.6783,1.49,10.86,,,
GALT US Equity,363225202,US3632252025,B7ZN8B9,Health Care,Biotechnology,Biotechnology,1.480000019,Common Stock,42889184,4.225356606,-25.99999905,-41.03585559,139016.2969,-22001000,1059000,10400500,9137500,,0,-0.68,1.43,1.4652,1.387,1.803,1.37,15.63,,,
