EQY_FUND_CRNCY,REL_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Total Cash Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3622 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20111024
AQQSQ US Equity,02970Q203,US02970Q2030,2448880,Financials,Real Estate Management & Development,Real Estate Operating Companies,11.92987537,REIT,35245624,-9.001711013,-29.98899805,-12.40913749,2937.508772,-19122000,240000,-6921000,1000,-9136000,75530000,-24.56,12.6365,14.0452,15.3442,16.418,-3.17,-28.82,,,20111031
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,35.13000107,Common Stock,1293560320,11.9502932,-19.21226726,-9.66182062,282744.7231,133733000,0,1031057024,0,,2808407040,-2.55,34.4865,33.9564,37.743,40.2712,-2.06,-13.90,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,2.900000095,Common Stock,29193430,12.84595917,-37.08218573,-17.61655715,5072.293103,759000,1088000,105215000,4000,,48398000,-13.79,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.84,-11.04,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,2.589999914,Common Stock,123173664,3.599996567,-69.09308021,-52.30202586,447902.2,22004000,0,227768000,0,,1266057024,-0.77,2.8955,2.8864,3.9387,5.7744,-21.52,-47.68,,,
MCPIQ US Equity,608753109,US6087531090,B458HM7,Materials,Metals & Mining,Diversified Metals & Mining,38.27000046,Common Stock,3210707712,16.4283593,-47.78990605,8.107341266,5065143.169,29801000,4269000,815921984,2000,,155988000,-11.55,37.2375,43.4938,49.4595,53.2904,-1.85,-39.86,,,
UNIS US Equity,9.05E+107,US90478E1038,B61FS45,Health Care,Health Care Equipment & Supplies,Health Care Supplies,5.300000191,Common Stock,339510048,26.19048646,-4.847396277,-7.342650609,217114.0769,-40682000,0,53572000,0,0,6650000,-22.45,48.915,45.712,45.23,47.839,3.31,18.30,,,
MKTG US Equity,761248103,US7612481033,B5MYYV3,,,,10.92000008,Common Stock,513848224,1.298704516,-31.66457829,,101640.7538,10447000,,131339000,0,,116919000,-23.63,10.5495,11.923,13.7121,#N/A N/A,4.5,-25.05,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,12.69999981,REIT,1034254976,14.03591952,-7.389780136,0.636157373,360651.0462,22286000,0,926390016,0,,140166000,-14.09,12.0005,12.001,12.3118,13.2122,0.68,2.28,,,
MDAS US Equity,584045108,US5840451083,B29YMY4,Health Care,Health Care Technology,Health Care Technology,10.65999985,Common Stock,627512640,10.926121,-33.45818013,-42.65734395,636642.7077,-59596000,0,419184992,0,,480731000,-10.32,9.835,10.1162,11.2524,13.9346,11.97,-15.86,,,
PLMT US Equity,697062206,US6970622063,2166591,Financials,Banks,Regional Banks,8.220000267,Common Stock,104615120,-13.4736814,-25.27272485,-41.28571238,1602.210526,-62026000,0,108364000,0,0,69759000,-18,8.6226,9.7476,#N/A N/A,#N/A N/A,-2.14,-20.96,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,7.050000191,Common Stock,97692552,-0.983141797,-20.248868,-2.489624175,48380.13846,-11050000,0,92820000,0,166000,53824000,11.06,7.1608,7.4065,7.815,8.3134,-4.6,-13.07,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",37.18999863,Common Stock,6141192192,18.55274986,-16.06861324,-7.717123249,455718.2923,71000000,0,4822000128,0,,3608000000,-4.03,34.1235,33.2524,35.9322,40.2935,3.77,-4.12,,,
