EQY_FUND_CRNCY,REL_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Total Cash Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3707 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20110623
ACFC US Equity,48426100,US0484261005,B3R7WM0,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,6.820000172,Common Stock,17932508,-13.56146658,-23.65962319,-55.2936445,3098.307692,-14861000,0,54867000,0,,52515000,-19.94,7.1758,8.5765,9.3216,9.1397,1.04,-31.46,,,20110630
AQQSQ US Equity,02970Q203,US02970Q2030,2448880,Financials,Real Estate Management & Development,Real Estate Operating Companies,16.98999977,REIT,49658372,-0.058824876,-3.025117995,44.96586505,1365.823529,-20903000,240000,-16349000,1000,-15247000,65348000,-1.35,16.6833,17.2346,17.6408,15.5084,2.6,-13.54,,,
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,44.41999817,Common Stock,1627762048,-1.332746074,8.479067599,5.319241124,163837.9524,129458000,0,1006289984,0,,2717345024,-8.15,43.577,43.712,43.312,41.7036,0.86,5.74,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,3.24000001,Common Stock,32616108,-17.13555145,-6.086957543,-41.4104903,3758.716667,2132000,1450000,106209000,4000,,51467000,0.62,3.443,3.9899,4.3655,3.9573,1.25,-27.19,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,5.809999943,Common Stock,276308480,-24.74093134,-17.82178498,92.38410528,503685.7778,25848000,0,169498000,0,,1250944992,-14.8,5.9855,7.1794,7.4536,6.8511,2.47,-28.54,,,
MCPIQ US Equity,608753109,US6087531090,B458HM7,Materials,Metals & Mining,Diversified Metals & Mining,61.06000137,Common Stock,5122659328,-8.08369548,22.36472847,,6974145.032,-42245000,0,649867008,2000,,58218000,4.21,54.074,61.2264,57.9383,47.545,13.14,1.73,,,
UNIS US Equity,9.05E+107,US90478E1038,B61FS45,Health Care,Health Care Equipment & Supplies,Health Care Supplies,5.179999828,Common Stock,330749728,5.930469729,-2.2641577,-10.99656915,250982.381,-39842000,0,61363000,0,,8607000,-13.51,45.025,49.312,49.818,52.7977,17.73,-8.64,,,
MKTG US Equity,761248103,US7612481033,B5MYYV3,,,,17.72999954,Common Stock,831857856,3.141355389,,,,9592000,,-4640000,62028000,,104832000,-17.82,16.018,15.9208,#N/A N/A,#N/A N/A,16.19,#N/A N/A,,,
SRX US Equity,78464R105,US78464R1059,2865241,,,,30.92000008,Common Stock,1781560064,-0.096932749,51.19803874,57.19369576,1122470.905,84477000,0,815804992,0,,1720667008,#N/A N/A,31.0205,30.9298,29.5563,25.5229,-0.71,9.03,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,12.90999985,REIT,1051356864,-5.697587705,-6.982742633,15.58129448,215519.1429,20302000,0,931100992,0,,130865000,-0.83,12.6275,13.1356,13.755,13.628,4.11,-7.00,,,
MDAS US Equity,584045108,US5840451083,B29YMY4,Health Care,Health Care Technology,Health Care Technology,13.35999966,Common Stock,783089664,-8.178697721,-33.82863148,-42.11438604,590424.1429,-53814000,0,424734016,0,,428484000,-5.16,13.4225,14.6792,15.6274,17.6825,0.68,-12.34,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,8.529999733,Common Stock,117040128,-6.67396704,2.895051535,-7.383282327,99466.09524,-12355000,0,93370000,0,158000,51146000,-4.92,8.0675,8.5403,8.7484,8.2909,2.9,-0.47,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",40.81999969,Common Stock,7102900736,-8.434279905,-10.79545194,10.05661776,312214.1746,54000000,0,5155999744,0,,3561000000,-4.97,39.866,42.4394,43.3184,43.2525,3.39,-5.16,,,
MITI US Equity,59509C105,US59509C1053,B14PWM3,,,,5.739999771,Common Stock,525384512,-7.269794539,-29.31034665,-8.012820807,855613.0476,-36684000,0,171400992,0,0,27981000,-1.39,5.5256,6.0026,5.8229,6.5654,3.8,2.41,,,
9876547D US Equity,487169104,US4871691048,B034L83,,,,9.109999657,Common Stock,619256832,-2.76528185,7.038461266,1.642329982,23615.92063,6030000,0,479267008,0,,100031000,2.85,9.132,9.2354,9.4306,9.1204,2.46,-8.68,,,
XPL US Equity,8342EP107,US8342EP1070,B021PD8,Materials,Metals & Mining,Precious Metals & Minerals,2.849999905,Common Stock,94600904,-8.064516377,-21.48760841,33.17755911,158847.0952,-5059000,0,11214000,0,4361000,,-1.4,2.858,2.8868,3.2372,2.9884,1.79,-20.61,,,
CORT US Equity,218352102,US2183521028,B00SCY1,Health Care,Pharmaceuticals,Pharmaceuticals,3.99000001,Common Stock,335048288,-19.23076997,3.367878704,27.88462038,283472.8413,-26994000,0,56641000,0,,0,-10.28,4.4288,4.4163,4.2322,4.0435,-10.94,-6.12,,,
MWV US Equity,583334107,US5833341077,2840044,Materials,Containers & Packaging,Paper Packaging,33.31000137,Common Stock,5652260864,-2.087004923,29.3667901,55.44545008,1563609.397,301000000,0,3393999872,0,,5974999936,-5.77,28.575,29.2418,27.9,25.5262,4.09,10.64,,,
CKEC US Equity,143436400,US1434364006,2845469,Consumer Discretionary,Media,Movies & Entertainment,6.909999847,Common Stock,89019304,-4.820941742,-10.49222752,14.0264012,147520.9365,-27604000,0,-17842000,0,,464437000,-10.13,6.7785,6.9881,7.0429,7.522,1.32,-3.36,,,
VRNT US Equity,92343X100,US92343X1000,2849193,Information Technology,Software,Application Software,37.04000092,Common Stock,1419720960,9.133772582,16.84542594,60.48527313,219204.7143,45756000,14324000,98255000,285542016,,730517984,-8.15,34.685,34.3444,34.385,33.2141,5.71,3.35,,,
VSI US Equity,9.28E+105,US92849E1010,B55C7L5,Consumer Discretionary,Specialty Retail,Specialty Stores,45.75999832,Common Stock,1321878272,12.34961659,36.02853493,78.40155556,291155.2698,32109000,0,312856000,0,0,776721008,-4.81,43.567,40.6478,37.3087,33.907,1.69,35.26,,,
BCBP US Equity,55298103,US0552981039,2848253,Financials,Banks,Regional Banks,11.36999989,Common Stock,106688120,3.457689921,18.58314787,51.44327761,6065.327869,15529000,0,99981000,0,-5842000,46686000,-3.52,10.9197,10.9098,10.8126,10.112,6.46,11.60,,,
EPAX US Equity,23177108,US0231771082,2845845,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",8.829999924,Common Stock,156291008,-7.247904421,-22.27199177,-19.95725464,75430.44444,6876000,0,72156000,0,,75072000,-3.51,9.011,9.4469,9.9951,10.6342,-1.34,-18.83,,,
FTWRQ US Equity,31567R209,US31567R2094,2850935,,,,1.200000048,Common Stock,59576880,-35.13513339,-73.09416956,-74.57626905,1371422.095,-47708000,0,278454016,0,,81798000,-6.67,1.1885,1.1551,1.8806,3.103,3.45,-40.30,,,
CVGW US Equity,128246105,US1282461052,2859200,Consumer Staples,Food Products,Packaged Foods & Meats,21.05999947,Common Stock,310137984,-4.87804857,-8.633404933,20.05977131,51148.71429,15256000,0,95232000,0,,431851000,-1.85,20.6645,20.5695,21.2786,21.9765,1.3,-3.62,,,
PNCLQ US Equity,723443107,US7234431077,2170848,,,,4.539999962,Common Stock,86012568,-6.776179291,-42.53164675,-16.54411923,114908.7143,8101000,0,116585000,0,,1110870016,-12.11,4.3714,4.8677,5.4214,6.1359,4.61,-21.04,,,
NYX US Equity,629491101,US6294911010,B1VJYW2,,,,34.27000046,Common Stock,8978740224,-5.06164934,16.24675774,28.69320444,4864112.206,584000000,0,7207000064,0,1438000000,4490000064,-2.36,33.9715,36.4122,36.6101,33.3278,4.61,-1.71,,,
SBRA US Equity,78573L106,US78573L1061,B5NLBP6,Financials,Real Estate Investment Trusts (REITs),Health Care REITs,16.70999908,REIT,418776000,-4.020682189,-7.489285663,18.59285973,158213.2857,,,179923008,0,0,1897933984,-13.76,16.3832,16.829,17.3926,17.2872,1.77,-3.34,,,
ARO US Equity,7865108,US0078651082,2872092,Consumer Discretionary,Specialty Retail,Apparel Retail,17.5,Common Stock,1412720768,-7.407405539,-28.97727097,-38.89664674,2559417.222,161663000,0,352865984,0,,2379460992,-3.71,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,
RGC US Equity,758766109,US7587661098,2866824,Consumer Discretionary,Media,Movies & Entertainment,12.35000038,Common Stock,1908908672,-7.344221204,8.499344739,11.06563403,1908020.635,37200000,0,-540000000,0,,2659000000,3.56,12.0945,13.1408,13.5018,13.3303,3.09,-7.00,,,
CQB US Equity,170032809,US1700328099,2855468,,,,13.02000046,Common Stock,591308544,-12.61744436,-7.132667385,7.160500959,472337.8095,90396000,0,804884992,0,,3243499968,-9.06,12.766,14.0466,14.724,14.2216,8.41,-15.12,,,
DDE US Equity,260095104,US2600951048,2857486,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,3.200000048,Common Stock,103683200,-10.11235677,-4.276635742,14.60898904,15101.7619,5032000,0,110142000,0,,241505000,-3.13,3.307,3.4122,3.4761,3.4687,-0.62,-10.10,,,
AMRC US Equity,2.36E+111,US02361E1082,B3SWPT2,Industrials,Construction & Engineering,Construction & Engineering,14.18000031,Common Stock,597818880,-3.009573077,-1.253477408,,253973.1587,32736723,,204001696,,,659017856,-5.08,13.4065,14.5732,14.4098,13.9015,4.5,0.28,,,
ICGN US Equity,45104P500,US45104P5008,B00VV09,,,,6.099999905,Common Stock,45743900,119.8346733,244.6327667,90.62499418,252149.6667,-5334000,0,11614000,0,0,10116000,-1.59,3.153,2.8531,2.843,2.2594,154.17,140.25,,,
POM US Equity,713291102,US7132911022,2971698,Utilities,Electric Utilities,Electric Utilities,19.62999916,Common Stock,4431873024,-0.331670943,10.62222549,32.62457366,1840079.587,173000000,0,4260999936,0,,6854000000,-4.84,19.33,19.5062,19.0436,18.8515,1.71,6.72,,,
PRSG US Equity,,BMG724571077,B016DB8,Financials,Diversified Financial Services,Specialized Finance,5.25,Common Stock,196775760,6.060610147,3.346458245,42.27642056,41917.5873,108818000,3133000,-7313000,93102000,,179237984,20.19,4.944,4.8598,4.9168,4.8991,5.42,3.35,,,
NTS US Equity,62943B105,US62943B1052,B7M32S7,,,,1.399999976,Common Stock,29567298,10.00884076,13.82113451,19.65812201,10184.46667,-4531248,0,21955068,0,2486774,58643489,-29.29,0.8101,0.9008,0.994,0.955,35.92,-3.45,,,
FBMS US Equity,318916103,US3189161033,2184300,Financials,Banks,Regional Banks,9.929875374,Common Stock,30445988,-3.123167084,17.81956102,37.06144475,1536.717949,2513744,297629,40668000,16939000,,27636586,-9.36,9.9019,9.2094,#N/A N/A,#N/A N/A,-0.7,15.97,,,
CPSI US Equity,205306103,US2053061030,2872122,Health Care,Health Care Technology,Health Care Technology,63.47999954,Common Stock,702291904,1.163345884,37.19245622,59.51711434,98915.49206,21190954,0,47965840,0,1638709,162085604,15.7,58.3535,59.4648,58.9052,52.7406,6.67,-0.66,,,
CME US Equity,12572Q105,US12572Q1058,2965839,Financials,Diversified Financial Services,Specialized Finance,291.5899963,Common Stock,19554725888,2.559608279,-8.492242416,5.410662825,435155.8413,1169000000,0,20787499008,0,,3142100032,-0.82,55.1905,57.4912,58.8087,58.9632,4.37,-2.81,,,
NXST US Equity,65336K103,US65336K1034,2949758,Consumer Discretionary,Media,Broadcasting,8.210000038,Common Stock,233577680,18.98550615,37.06177549,87.44291835,62762.14286,-4455000,0,-181192000,0,45378000,314669000,6.7,7.4785,7.504,7.2961,6.3806,-1.44,-5.31,,,
CYNO US Equity,232577205,US2325772059,B0T4N70,Health Care,Health Care Equipment & Supplies,Health Care Equipment,12.10000038,Common Stock,152492672,-7.137370457,18.27957891,12.34911669,42433.8254,-4629000,0,119655000,0,,84766000,7.52,11.7365,12.7161,12.9981,11.744,9.8,-12.89,,,
