EQY_FUND_CRNCY,REL_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Total Cash Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3616 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20110923
AQQSQ US Equity,02970Q203,US02970Q2030,2448880,Financials,Real Estate Management & Development,Real Estate Operating Companies,13.10999966,REIT,38732184,-9.210526055,-33.28202226,2.024332512,2370.596154,-19122000,240000,-6921000,1000,-9136000,75530000,-9,14.657,15.4354,16.3056,16.4281,-12.42,-22.84,,,20110930
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,31.37999916,Common Stock,1155477504,-16.29768537,-25.3001229,-20.01830744,275731.6094,133733000,0,1031057024,0,,2808407040,11.95,32.5705,35.4214,39.7411,40.94,2.38,-29.36,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,2.509875059,Common Stock,25266158,-17.16583885,-43.59831086,-30.08704404,3772.338983,693000,1450000,105001000,4000,,49586000,15.54,2.6941,2.8802,3.3276,3.7624,0,-22.53,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,2.5,Common Stock,118893496,-23.07692308,-69.24969293,-50.49505137,460411.5938,23976000,0,229628992,0,,1251642016,3.6,2.777,3.3786,4.9272,6.2293,-3.85,-56.97,,,
MCPIQ US Equity,608753109,US6087531090,B458HM7,Materials,Metals & Mining,Diversified Metals & Mining,32.86999893,Common Stock,2757668096,-41.84359755,-45.23492389,16.18945871,5380461.453,29801000,4269000,815921984,2000,,155988000,16.43,45.928,51.9854,54.3307,54.6079,-8.52,-46.17,,,
UNIS US Equity,9.05E+107,US90478E1038,B61FS45,Health Care,Health Care Equipment & Supplies,Health Care Supplies,4.199999809,Common Stock,269045696,-9.871245777,-25.92593029,-30.34826429,209228.1563,-40682000,0,53572000,0,0,6650000,26.19,43.03,42.632,45.49,48.3803,-4.76,-18.92,,,
MKTG US Equity,761248103,US7612481033,B5MYYV3,,,,10.77999973,Common Stock,507260416,-25.96154243,,,77460.375,10447000,,131339000,0,,116919000,1.3,12.1915,13.563,14.8954,#N/A N/A,2.08,-39.20,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,11.31000042,REIT,921057024,-13.26686769,-17.27370013,-3.715244019,321256.2188,22286000,0,926390016,0,,140166000,14.04,11.891,12.1382,12.5757,13.4559,-0.09,-11.05,,,
MDAS US Equity,584045108,US5840451083,B29YMY4,Health Care,Health Care Technology,Health Care Technology,9.609999657,Common Stock,565703232,-15.92301487,-36.94225852,-54.32509868,616243.0313,-59596000,0,419184992,0,,480731000,10.93,10.2455,10.7062,12.3162,15.0345,-4.47,-28.07,,,
PLMT US Equity,697062206,US6970622063,2166591,Financials,Banks,Regional Banks,9.5,Common Stock,120905552,-5.47263861,-20.83333333,-5,2010.107143,-62026000,0,108364000,0,0,69759000,-13.47,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-3.75,#N/A N/A,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,7.119999886,Common Stock,98662552,-9.75918877,-16.91948496,-12.09877098,58426.9375,-11050000,0,92820000,0,166000,53824000,-0.98,7.5395,7.8147,8.1575,8.4549,1.28,-16.53,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",31.37000084,Common Stock,5180134400,-11.65868115,-27.11431187,-16.10055803,480000.4375,71000000,0,4822000128,0,,3608000000,18.55,32.6035,34.222,37.947,41.5746,-3.06,-23.15,,,
MITI US Equity,59509C105,US59509C1053,B14PWM3,,,,4.800000191,Common Stock,441822720,-0.207895055,-14.36217352,-28.5714235,688137.8281,-50834000,0,156644992,0,,28494000,36.88,4.6895,4.9002,5.398,5.9125,2.56,-16.38,,,
9876547D US Equity,487169104,US4871691048,B034L83,,,,8.840000153,Common Stock,598898560,1.711757075,-10.88812905,2.319757353,35918.98438,7907000,0,487873984,0,-13985000,105155000,10.07,8.73,8.8142,9.0471,9.1885,-0.12,-2.42,,,
XPL US Equity,8342EP107,US8342EP1070,B021PD8,Materials,Metals & Mining,Precious Metals & Minerals,1.720000029,Common Stock,58716500,-26.18025387,-52.08913455,-25.85807308,71957.89063,-5072000,0,20506000,0,4161000,,2.91,2.0238,2.2529,2.5929,3.0259,-9.95,-39.65,,,
CORT US Equity,218352102,US2183521028,B00SCY1,Health Care,Pharmaceuticals,Pharmaceuticals,3.099999905,Common Stock,261030544,9.540635626,-27.05882577,-20.30848789,192624.4531,-30181000,0,48864000,0,,0,2.26,2.93,3.0086,3.6518,3.8754,11.11,-22.31,,,
