EQY_FUND_CRNCY,REL_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Total Cash Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3769 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20140523
ACFC US Equity,48426100,US0484261005,B3R7WM0,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,4.28000021,Common Stock,66378780,-0.465115815,9.183676697,-16.40828373,20797.06557,-9161000,0,68206000,0,,34299000,-5.14,4.17,4.1426,4.1349,4.0805,3.88,4.39,,,20140530
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,29.48999977,Common Stock,1097643136,-1.13979267,4.005991419,11.13655123,275666.1429,-16695000,0,1135623936,0,,2116096992,0.83,29.962,29.6242,29.459,29.006,-1.11,1.46,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,4.823999882,Common Stock,48565036,2.879073327,3.741930813,1.879614482,6419.881356,-24919000,1371000,83198000,4000,,38168000,-3.81,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.74,2.64,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,5.28000021,Common Stock,256678976,9.316776257,7.099399466,2.923978402,202228.8889,9196000,0,316948992,0,,1395118976,-5.11,4.9705,5.0174,5.3592,5.25,4.76,-8.81,,,
MCPIQ US Equity,608753109,US6087531090,B458HM7,Materials,Metals & Mining,Diversified Metals & Mining,2.769999981,Common Stock,677853376,-41.68421093,-42.05021215,-59.20471286,5005500.381,-419351008,11384000,1257810944,,,528268000,-7.22,3.278,4.1956,4.673,5.1943,-2.81,-46.93,,,
UNIS US Equity,9.05E+107,US90478E1038,B61FS45,Health Care,Health Care Equipment & Supplies,Health Care Supplies,2.880000114,Common Stock,296059712,-11.38461186,-35.28089353,-16.52173697,1338804.254,-64613000,0,19760000,0,,8810000,2.78,29.7275,34.745,39.8695,37.5173,1.77,-37.80,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,12.52000046,REIT,1254346368,2.791462595,0.44019068,-3.00675223,294101.7143,16662000,0,1032401984,0,,232710000,0.48,12.3765,12.3228,12.2377,12.4244,0.81,1.57,,,
MDAS US Equity,584045108,US5840451083,B29YMY4,Health Care,Health Care Technology,Health Care Technology,23.42000008,Common Stock,1428295040,2.584319556,8.727943737,40.40767175,523802.9683,27415000,0,485908000,0,,678446016,-2.48,23.0745,23.7462,23.0175,22.9284,-1.39,-3.58,,,
PLMT US Equity,697062206,US6970622063,2166591,Financials,Banks,Regional Banks,13.46000004,Common Stock,172187168,-0.370097631,0.223378498,-3.165464694,7385.460317,28436000,0,126952000,0,-20546000,56207000,6.91,13.568,13.7626,13.3697,13.156,-1.61,0.67,,,
EAC US Equity,29482P100,US29482P1003,B3X9J74,Industrials,Aerospace & Defense,Aerospace & Defense,16.27000046,Common Stock,224703936,2.909551081,-13.96086415,-34.63237904,29564.71429,3336000,,185327008,0,,355465000,-0.12,15.634,17.0126,18.6117,18.249,-1.09,-24.43,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,9.869999886,Common Stock,140092336,-4.267706267,4.444445341,6.587469132,86568.28571,-6194000,0,83377000,0,-219000,74816000,5.27,9.955,10.5448,10.2901,9.8622,1.44,-7.76,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",61.15999985,Common Stock,9473540096,8.670933145,26.44201199,47.44455285,339468.6349,253000000,0,4767000064,0,,4283000064,-0.29,58.269,55.781,53.1681,49.7805,3.84,17.25,,,
9876547D US Equity,487169104,US4871691048,B034L83,,,,14.22000027,Common Stock,941215744,-2.469133461,36.20690458,39.27522247,36657.06349,9284000,0,471476992,0,,100803000,6.47,13.8088,14.3155,13.3505,11.876,2.52,13.04,,,
XPL US Equity,8342EP107,US8342EP1070,B021PD8,Materials,Metals & Mining,Precious Metals & Minerals,1.200000048,Common Stock,47055228,13.20755778,40.76246539,3.448282949,67103.57143,-1546000,0,9528000,0,,,10,1.101,1.1836,1.192,1.0484,7.14,-23.08,,,
CORT US Equity,218352102,US2183521028,B00SCY1,Health Care,Pharmaceuticals,Pharmaceuticals,2.25999999,Common Stock,228020096,-48.86877938,5.116273964,18.94736941,736922.3651,-47857000,0,9371000,0,,13045000,23.89,2.2775,3.3224,3.3665,2.6536,20.21,-31.10,,,
MWV US Equity,583334107,US5833341077,2840044,Materials,Containers & Packaging,Paper Packaging,40.58000183,Common Stock,6811959296,4.534268339,20.5773869,20.88830649,1483724.952,389000000,0,3500000000,0,,5506000000,9.07,39.832,38.6624,37.4863,37.0078,1,9.11,,,
CKEC US Equity,143436400,US1434364006,2845469,Consumer Discretionary,Media,Movies & Entertainment,34.40000153,Common Stock,791646144,15.98112509,43.69256791,89.21892711,168273.0952,6659000,0,241960992,0,,666257984,2.12,32.7215,30.9444,29.8332,26.1538,4.31,15.63,,,
VRNT US Equity,92343X100,US92343X1000,2849193,Information Technology,Software,Application Software,46.33000183,Common Stock,2503545856,5.848757931,22.17828077,36.26471127,321057.3016,58776000,,626974016,,3575000,907292000,5.87,43.9345,44.9282,45.5289,41.5628,0.91,-1.03,,,
VSI US Equity,9.28E+105,US92849E1010,B55C7L5,Consumer Discretionary,Specialty Retail,Specialty Stores,42.97999954,Common Stock,1322951936,-10.23392109,-20.80339197,-2.913939241,536572.2381,66258000,0,554265984,0,,1116218016,0.09,43.3685,45.4874,45.4984,46.3126,2.46,-8.14,,,
BCBP US Equity,55298103,US0552981039,2848253,Financials,Banks,Regional Banks,13.39999962,Common Stock,111801992,1.81883926,5.286895401,37.00467179,6429.774194,9241000,622000,102125000,0,-9855000,62222000,0.9,13.3138,13.2419,13.2094,12.3963,0.15,1.97,,,
EPAX US Equity,23177108,US0231771082,2845845,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",4.059999943,Common Stock,69177152,-4.245279199,-11.93058948,14.04494405,17483.36508,-6569000,0,48786000,0,,49699000,13.55,3.7822,3.8915,4.0736,3.9994,5.45,2.78,,,
MACK US Equity,590328100,US5903281005,B72XX62,Health Care,Biotechnology,Biotechnology,7.769999981,Common Stock,803458048,76.99317124,97.20811848,41.5300602,2172723.714,-130116000,0,-65964000,0,,46165000,-6.18,7.0368,5.8139,5.6342,4.691,3.32,56.02,,,
CVGW US Equity,128246105,US1282461052,2859200,Consumer Staples,Food Products,Packaged Foods & Meats,31.27000046,Common Stock,490939008,0.578965276,1.427183053,4.2855328,71518.30159,17539000,0,126789000,0,,720116992,8.19,30.555,32.5464,31.8957,30.5076,1.26,0.42,,,
SBRA US Equity,78573L106,US78573L1061,B5NLBP6,Financials,Real Estate Investment Trusts (REITs),Health Care REITs,29.28000069,REIT,1383864960,-1.006481852,12.68012502,11.21057165,472356.6984,16837000,10223000,438683008,58000,0,143608000,-1.95,28.922,28.9285,28.2728,26.5411,1.84,4.21,,,
SYRX US Equity,87184N203,US87184N2036,BLM80G4,Information Technology,IT Services,IT Consulting & Other Services,3.599999905,Common Stock,70230200,-32.20498595,-40.00000159,139.9999936,21363.53226,-3863955,0,9264748,,,61529826,7.78,4.4431,6.8194,6.7293,4.9282,-13.47,-43.75,,,
LPDX US Equity,53630M108,US53630M1080,2857572,,,,3.160000086,Common Stock,48173008,1.607723229,-28.66816686,-51.68195559,66228.22222,-11730000,0,46110000,0,,50775000,8.23,3.156,3.2332,3.7493,4.1792,1.94,-24.04,,,
ARO US Equity,7865108,US0078651082,2872092,Consumer Discretionary,Specialty Retail,Apparel Retail,3.910000086,Common Stock,307477184,-21.32796276,-62.11240115,-73.25581316,4422641.508,-206445000,0,206810000,0,-4812000,2034486944,-10.74,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,
RGC US Equity,758766109,US7587661098,2866824,Consumer Discretionary,Media,Movies & Entertainment,19.51000023,Common Stock,3047034624,4.94681397,3.623634373,11.64237763,1123330.857,133900000,0,-749100032,0,,3122200064,8.15,19.1345,18.9456,19.1236,19.031,1.08,7.23,,,
CQB US Equity,170032809,US1700328099,2855468,,,,10.26000023,Common Stock,481364320,-10.62717214,-2.932823793,-1.25120414,634408.9365,-42317000,0,351496992,0,,3045223040,5.75,10.759,11.5478,11.3438,11.5019,-2.66,-6.22,,,
DDE US Equity,260095104,US2600951048,2857486,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,1.409999967,Common Stock,46179364,-2.758626189,-4.252613518,-16.07142794,30091.79365,-757000,0,115172000,0,,192190000,-2.84,1.4356,1.4681,1.5082,1.4851,2.17,-9.62,,,
AMRC US Equity,2.36E+111,US02361E1082,B3SWPT2,Industrials,Construction & Engineering,Construction & Engineering,6.550000191,Common Stock,301415392,2.184092772,-28.64923777,-21.930871,212901.3492,-3942741,0,268168992,0,,564766736,7.33,6.2725,6.796,8.2565,8.812,-5.07,-36.16,,,
POM US Equity,713291102,US7132911022,2971698,Utilities,Electric Utilities,Electric Utilities,27.70000076,Common Stock,6953394176,3.512707496,49.23527023,39.28730264,4728994.667,281000000,,4336000000,0,,4818000064,0.18,27.5415,23.7974,21.7306,20.2992,0,37.70,,,
NTS US Equity,62943B105,US62943B1052,B7M32S7,,,,1.980000019,Common Stock,86817600,1.02040717,1.02040717,67.79661924,65882.12903,-2429229,0,28049284,0,,58641141,#N/A N/A,1.9658,1.9641,1.9699,1.8874,1.02,-0.50,,,
FBMS US Equity,318916103,US3189161033,2184300,Financials,Banks,Regional Banks,14.35999966,Common Stock,73943664,-0.636557245,-0.446687414,14.18831824,5418.706897,4841000,424000,70373000,17123000,,39940000,-1.11,14.368,14.3496,14.4119,14.1872,-0.28,2.84,,,
CPSI US Equity,205306103,US2053061030,2872122,Health Care,Health Care Technology,Health Care Technology,63.58000183,Common Stock,709803968,1.624316578,5.180014165,30.41879468,125081.8571,33514929,0,71219400,0,751159,203409364,0.03,63.2395,63.0522,64.1478,61.6982,-3.2,-6.25,,,
CME US Equity,12572Q105,US12572Q1058,2965839,Financials,Diversified Financial Services,Specialized Finance,72,Common Stock,24177176576,2.2872576,-8.21820804,9.166860685,1765500.54,1007300000,0,21304600576,0,,2995099968,-0.79,70.2873,70.9749,73.0993,74.7957,1.41,-1.87,,,
NXST US Equity,65336K103,US65336K1034,2949758,Consumer Discretionary,Media,Broadcasting,46.45999908,Common Stock,1422699648,17.02018465,-5.772712138,70.67654406,785223.8254,4863000,0,-8442000,0,,523958000,11.08,42.997,40.2076,42.0425,42.9703,3.64,9.26,,,
CYNO US Equity,232577205,US2325772059,B0T4N70,Health Care,Health Care Equipment & Supplies,Health Care Equipment,21.78000069,Common Stock,486079456,-11.24694428,-15.87485052,-13.77672015,279275.8095,-2197000,0,338176000,0,,247324000,-2.43,21.9066,24.8408,26.6344,25.2503,2.64,-29.24,,,
CEVA US Equity,157210105,US1572101053,2986937,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,15.64999962,Common Stock,328430624,-3.573628713,-2.12632994,-6.062426399,114901.4603,6965000,0,191384992,0,,50458000,-5.62,14.6285,16.2826,16.7338,16.3392,3.44,-13.44,,,
