EQY_FUND_CRNCY,REL_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Total Cash Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3805 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20150123
ACFC US Equity,48426100,US0484261005,B3R7WM0,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,3.880000114,Common Stock,60175156,-2.267000341,-4.668305877,-2.999997139,11204.67213,-6000000,0,70485000,0,,34046000,4.38,3.8556,4.0006,3.9878,4.0637,3.47,-5.83,,,20150130
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,32.52999878,Common Stock,1212534656,7.182861188,12.13990815,14.1834831,140643.3548,-32769000,0,1145545984,0,,1854149984,1.75,31.2245,30.4052,29.3125,29.2465,1.97,16.32,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,4.449999809,Common Stock,44799836,-1.330386177,-4.50387855,1.136357109,3729.45,2909000,1545000,83810000,3500000,,36494000,1.12,4.4865,4.5315,4.5569,4.5978,-1.33,-5.32,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,3.480000019,Common Stock,169340416,-14.70588029,-24.99999743,-38.188278,192191.3065,-12562000,0,299748000,0,,1320774016,4.6,3.734,4.0742,4.0539,4.4554,-6.45,-15.74,,,
UNIS US Equity,9.05E+107,US90478E1038,B61FS45,Health Care,Health Care Equipment & Supplies,Health Care Supplies,3.970000029,Common Stock,478396256,17.80415915,56.91699895,-15.53191086,856323.3871,-68917000,0,-2677000,0,,12882000,-0.5,41.855,35.172,32.572,30.2933,-11.19,8.17,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,12.88000011,REIT,1290413824,3.633993907,8.85035083,12.99046079,375107.7742,13205000,0,998369024,0,,250218000,-1.94,12.948,12.4554,12.0904,12.2349,-1.38,8.99,,,
MDAS US Equity,584045108,US5840451083,B29YMY4,Health Care,Health Care Technology,Health Care Technology,18.51000023,Common Stock,1114441984,-7.218047514,-25.63278151,-16.20642779,530030.5323,29765000,0,485636992,0,,692453008,3.78,18.9388,19.1259,20.2033,21.5853,-0.8,-14.54,,,
PLMT US Equity,697062206,US6970622063,2166591,Financials,Banks,Regional Banks,16.34000015,Common Stock,209046496,-10.62604992,25.43527987,36.97075964,16300.04839,9355000,0,133044000,0,-18109000,53188000,1.84,16.896,16.5552,15.6065,14.6732,-4.38,-1.22,,,
FSNN US Equity,36113B400,US36113B4005,BMM28B4,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers,3.589999914,Common Stock,23310218,12.18749565,-28.20000172,-42.56000137,9325.854839,-3696525,1419705,12423091,269,,84818525,3.76,3.5788,3.4649,3.6674,4.4384,-3.78,-2.97,,,
EAC US Equity,29482P100,US29482P1003,B3X9J74,Industrials,Aerospace & Defense,Aerospace & Defense,7.050000191,Common Stock,97381400,-16.5680432,-51.10956898,-63.65979212,26530.33871,-9576000,,183960000,0,,365872000,-12.77,6.9725,8.2862,10.898,13.0378,1,-49.79,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,13.30000019,Common Stock,191466112,33.53413795,32.33830784,38.11007303,40841.46774,-9265000,0,80709000,0,-165000,74878000,-3.38,12.825,11.1504,10.7165,10.2994,2.39,26.67,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",56.25999832,Common Stock,8540548096,-6.653396558,-8.041846942,18.14363625,363718.4032,194000000,0,4682999808,0,,4427000064,7.61,57.524,58.3922,58.9444,59.2434,-3.03,-5.00,,,
9876547D US Equity,487169104,US4871691048,B034L83,,,,13,Common Stock,875878144,-6.137186701,-14.19141698,14.03509154,18861.09677,9707000,0,493233984,0,,107827000,2.15,13.537,13.8476,13.8622,14.3655,-5.32,-8.71,,,
CORT US Equity,218352102,US2183521028,B00SCY1,Health Care,Pharmaceuticals,Pharmaceuticals,2.910000086,Common Stock,294463392,-1.689187556,17.81376729,-21.98391231,145328.629,-38612000,0,-1317000,0,,21653000,13.75,2.9655,3.0476,2.9844,2.8289,0.69,-10.46,,,
MWV US Equity,583334107,US5833341077,2840044,Materials,Containers & Packaging,Paper Packaging,50.27999878,Common Stock,8382519808,11.9821761,17.1802932,46.64268416,1138718.532,280000000,0,3252999936,0,,5631000064,6.05,46.0315,45.2198,43.6171,42.8265,11.63,14.47,,,
CKEC US Equity,143436400,US1434364006,2845469,Consumer Discretionary,Media,Movies & Entertainment,27.67000008,Common Stock,675669312,4.061677012,-13.28737008,3.20776064,282398.2419,-2935000,0,287363008,0,,676391008,12.94,26.6475,27.0876,28.7631,31.0043,-1.18,-13.67,,,
VRNT US Equity,92343X100,US92343X1000,2849193,Information Technology,Software,Application Software,53.38000107,Common Stock,3240932096,-8.876750769,10.38048055,16.77970277,454390.9194,54066000,,1010827008,0,,1072528000,14.04,55.7093,57.5825,56.4416,51.9784,-5.24,-7.15,,,
VSI US Equity,9.28E+105,US92849E1010,B55C7L5,Consumer Discretionary,Specialty Retail,Specialty Stores,42.27000046,Common Stock,1305128448,-11.84567302,-2.265894895,-6.066665649,461392.9839,60851000,0,585766016,0,,1179391008,0.31,43.112,45.4242,45.0852,43.9811,-1.4,-9.93,,,
BCBP US Equity,55298103,US0552981039,2848253,Financials,Banks,Regional Banks,11.56999969,Common Stock,97037096,-0.71222638,-8.746091647,-5.035453092,3871.290323,8264000,768000,102713000,0,,63789000,3.28,11.5898,11.895,12.3027,12.7725,3.72,-6.69,,,
EPAX US Equity,23177108,US0231771082,2845845,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",2.519999981,Common Stock,42949936,0.398405996,-41.39535188,-49.29577289,30422.64516,-15320000,0,47514000,0,-125000,42366000,-1.98,2.5341,2.3912,2.9201,3.5208,1.95,-29.01,,,
