EQY_FUND_CRNCY,REL_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Total Cash Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3663 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20110824
AQQSQ US Equity,02970Q203,US02970Q2030,2448880,Financials,Real Estate Management & Development,Real Estate Operating Companies,14.43999958,REIT,42661536,-13.84248578,-13.27262803,13.70078581,1171.479167,-19122000,240000,-6921000,1000,-9136000,75530000,-9.21,15.3265,16.2259,17.0992,16.2743,-6.54,-15.06,,,20110831
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,37.49000168,Common Stock,1380460544,-8.112739266,-12.40798094,6.922163199,236655.6308,133733000,0,1031057024,0,,2808407040,-16.3,35.568,40.4216,42.0443,41.7087,2.38,-16.73,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,3.029999971,Common Stock,30502100,-7.05521533,-37.39669678,-15.8333319,3534.580645,693000,1450000,105001000,4000,,49586000,-17.17,2.8584,3.1156,3.664,3.8281,-0.98,-22.51,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,3.25,Common Stock,154561552,-34.34343181,-53.70370358,-23.34905247,674882.2769,23976000,0,229628992,0,,1251642016,-23.08,3.288,4.6332,6.0758,6.625,-2.69,-57.90,,,
MCPIQ US Equity,608753109,US6087531090,B458HM7,Materials,Metals & Mining,Diversified Metals & Mining,56.52000046,Common Stock,4741813248,-11.17397531,17.7745332,237.4328386,5492651.738,29801000,4269000,815921984,2000,,155988000,-41.84,53.5355,55.8806,59.7097,53.0028,8.5,-14.92,,,
UNIS US Equity,9.05E+107,US90478E1038,B61FS45,Health Care,Health Care Equipment & Supplies,Health Care Supplies,4.659999847,Common Stock,297547040,4.017853294,-1.271185285,-4.508202087,255678.6769,-40682000,0,53572000,0,,6650000,-9.87,41.165,44.984,47.368,49.6998,1.08,-4.70,,,
MKTG US Equity,761248103,US7612481033,B5MYYV3,,,,14.56000042,Common Stock,685130944,-0.068629207,,,100641.6769,10447000,,131339000,0,,116919000,-25.96,14.2895,15.3542,#N/A N/A,#N/A N/A,-1.89,-15.30,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,13.03999996,REIT,1061943680,3.409994583,-10.7118789,17.5428202,284186.2154,22286000,0,926390016,0,,140166000,-13.27,12.139,12.6098,12.9385,13.5534,5.42,-3.29,,,
MDAS US Equity,584045108,US5840451083,B29YMY4,Health Care,Health Care Technology,Health Care Technology,11.43000031,Common Stock,672839552,-9.786896319,-19.33662496,-42.27272351,687860.2615,-59596000,0,419184992,0,,480731000,-15.92,10.3435,11.9372,13.4647,15.9092,9.38,-21.44,,,
PLMT US Equity,697062206,US6970622063,2166591,Financials,Banks,Regional Banks,10.05000019,Common Stock,127905344,-3.365379237,-5.188680858,0.500001907,1289.486842,-62026000,0,108364000,0,0,69759000,-5.47,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-1.95,-15.97,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,7.889999866,Common Stock,109332512,-2.712697898,-18.32298146,12.07386235,98939.52308,-11050000,0,92820000,0,166000,53824000,-9.76,7.8468,8.2154,8.3874,8.4408,4.09,-13.68,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",35.50999832,Common Stock,5863773696,-8.455794062,-22.38251733,-5.708979115,425309.2,71000000,0,4822000128,0,,3608000000,-11.66,33.5425,37.6004,40.1207,42.636,8.43,-20.35,,,
MITI US Equity,59509C105,US59509C1053,B14PWM3,,,,4.809999943,Common Stock,442743200,-15.01766656,-22.79293855,-21.66123701,858046.1385,-50834000,0,156644992,0,,28494000,-0.21,4.752,5.4216,5.7359,6.1864,3,-22.29,,,
9876547D US Equity,487169104,US4871691048,B034L83,,,,8.739999771,Common Stock,594105856,-6.723587216,-10.06682746,3.025335569,33554.72308,7907000,0,487929984,0,,105155000,1.71,8.62,9.0966,9.195,9.1805,-0.68,-6.71,,,
XPL US Equity,8342EP107,US8342EP1070,B021PD8,Materials,Metals & Mining,Precious Metals & Minerals,2.329999924,Common Stock,79540376,-17.08185156,-41.01266087,16.49999619,67906.89231,-5072000,0,20506000,0,4161000,,-26.18,2.19,2.6028,2.7571,3.0599,13.11,-24.84,,,
CORT US Equity,218352102,US2183521028,B00SCY1,Health Care,Pharmaceuticals,Pharmaceuticals,2.829999924,Common Stock,238295616,-20.94972112,-24.33155304,1.433690409,272222.6923,-30181000,0,48864000,0,,0,9.54,2.8405,3.4814,3.942,3.9783,-4.71,-42.71,,,
MWV US Equity,583334107,US5833341077,2840044,Materials,Containers & Packaging,Paper Packaging,27.52000046,Common Stock,4697323008,-11.62491652,-4.792309185,30.80462822,1767451.092,341000000,0,3491000064,0,,5979999872,-10.76,23.6997,26.9072,28.0095,26.4312,4.64,-18.46,,,
CKEC US Equity,143436400,US1434364006,2845469,Consumer Discretionary,Media,Movies & Entertainment,7.079999924,Common Stock,91797000,14.00965991,-1.392756365,17.02478844,144675.1538,-15456000,0,-11228000,0,,469130000,-6.64,6.4385,6.596,6.793,7.191,11.32,-2.48,,,
VRNT US Equity,92343X100,US92343X1000,2849193,Information Technology,Software,Application Software,28.57999992,Common Stock,1095454208,-15.99059512,-16.87027622,21.20441059,227901.1385,45756000,14324000,98255000,285542016,,730517984,-8.01,27.2,32.1462,33.1629,33.4823,7,-15.79,,,
VSI US Equity,9.28E+105,US92849E1010,B55C7L5,Consumer Discretionary,Specialty Retail,Specialty Stores,44.29999924,Common Stock,1290330496,1.698801287,27.33543567,81.48299678,373595.1692,36752000,0,331816992,0,0,800429008,-15.49,41.306,43.6894,41.4716,37.1449,3.67,8.77,,,
BCBP US Equity,55298103,US0552981039,2848253,Financials,Banks,Regional Banks,9.800000191,Common Stock,90777392,-9.624660796,-9.622873665,19.86714199,5772.4375,16559000,0,99512000,0,-5925000,52357000,-7.24,9.514,10.4188,10.6201,10.4161,6.29,-9.79,,,
EPAX US Equity,23177108,US0231771082,2845845,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",7.599999905,Common Stock,134547360,-10.02133375,-27.54244779,-28.89722989,73113.09231,5124000,0,83719000,0,,72464000,-24.61,7.166,8.0894,8.8603,9.9077,5.41,-19.47,,,
FTWRQ US Equity,31567R209,US31567R2094,2850935,,,,1.190000057,Common Stock,59237368,6.250004657,-64.15662406,-66.8523653,1358516.369,-46161000,0,267908000,0,,86844000,-20.34,0.8324,1.0942,1.1458,2.3928,46.91,-35.68,,,
