EQY_FUND_CRNCY,REL_INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Total Cash Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3605 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20120824
AQQSQ US Equity,02970Q203,US02970Q2030,2448880,Financials,Real Estate Management & Development,Real Estate Operating Companies,4,REIT,14259200,12.67605785,-33.11036811,-72.29916817,3593.537037,-17155000,240000,2723000,1000,-11882000,61510000,-1.25,3.9618,3.8265,4.2677,6.1629,-14.02,-1.23,,,20120831
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,22.39999962,Common Stock,827352960,2.143179694,-32.19053044,-38.55394013,185800.6154,115348000,0,1129858048,0,,2731891008,8.15,22.077,22.2356,23.9966,28.8572,2.71,3.67,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,3.150000095,Common Stock,31710104,17.31844181,-10.7648691,3.960400169,2907.169492,3293000,1380000,106862000,4000,,45316000,0.63,2.9149,2.9024,3.1459,3.0343,-0.94,-1.87,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,4.730000019,Common Stock,226696592,32.49300021,33.61582119,45.53846213,225989.9231,62059000,0,285968992,0,,1357478016,8.03,4.096,3.6796,3.4339,3.3078,1.94,52.58,,,
MCPIQ US Equity,608753109,US6087531090,B458HM7,Materials,Metals & Mining,Diversified Metals & Mining,11.51000023,Common Stock,1403546624,-33.92652022,-53.40081023,-79.63552701,5409671.338,86000,10436000,1446588032,2000,171011008,460002000,-0.09,11.158,15.9132,20.084,24.5304,19.77,-41.51,,,
UNIS US Equity,9.05E+107,US90478E1038,B61FS45,Health Care,Health Care Equipment & Supplies,Health Care Supplies,2.99000001,Common Stock,240203152,-5.379749104,-19.40700866,-35.83690757,348002.3077,-52302000,0,43745000,0,,5519000,4.35,30.1,32.699,37.2105,37.1605,4.18,-28.30,,,
MKTG US Equity,761248103,US7612481033,B5MYYV3,,,,9.590000153,Common Stock,465171584,-13.99102708,-20.546807,-34.13461623,346763.4769,5481000,0,147518000,0,,148737000,6.67,9.704,10.9185,11.2528,10.871,3.34,-6.62,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,11.11999989,REIT,922263872,7.232401237,11.93169086,-8.455013218,243806.4154,19794000,0,901022976,0,,152045000,-0.45,10.725,10.6014,10.3337,10.3489,2.49,16.03,,,
MDAS US Equity,584045108,US5840451083,B29YMY4,Health Care,Health Care Technology,Health Care Technology,17.06999969,Common Stock,998395264,29.41622622,19.53781522,49.34382536,535549.9692,5176000,0,425777984,0,,613238992,4.28,16.3598,14.6049,13.3701,12.4162,0.41,50.80,,,
PLMT US Equity,697062206,US6970622063,2166591,Financials,Banks,Regional Banks,7.800000191,Common Stock,99465600,10.95305772,35.88851048,-22.38805928,3197.459459,-15487000,0,89772000,0,,74723000,8.97,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.63,#N/A N/A,,,
EAC US Equity,29482P100,US29482P1003,B3X9J74,Industrials,Aerospace & Defense,Aerospace & Defense,5.599874973,Common Stock,53775596,-12.50195485,,,13101.58462,18749000,7568000,87493000,,,155362000,30.54,6.2211,6.5596,6.9331,#N/A N/A,-3.14,-18.61,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,7.21999979,Common Stock,101983224,5.863157657,-22.78075406,-8.491762834,30964.61538,-10483000,0,87675000,0,6000,69092000,3.32,7.2475,7.0816,7.3996,7.8133,-0.96,4.49,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",37.93000031,Common Stock,6286362624,6.69479921,-8.403766132,6.814987604,342617.1077,114000000,0,4872999936,0,,3859000000,5.85,37.781,36.4804,37.6372,38.5842,0.99,2.54,,,
9876547D US Equity,487169104,US4871691048,B034L83,,,,9.670000076,Common Stock,647271104,-0.51440524,4.167615669,12.42281168,26719.75385,5078000,0,491616992,0,,100288000,0.72,9.7225,9.7172,9.5941,9.5973,-1.23,4.43,,,
XPL US Equity,8342EP107,US8342EP1070,B021PD8,Materials,Metals & Mining,Precious Metals & Minerals,1.256187558,Common Stock,43281944,1.305447461,-10.90868171,-46.08636913,62446.56923,-6226000,,9891000,0,741000,,47.27,1.2396,1.2554,1.2329,1.3686,-3.37,25.62,,,
CORT US Equity,218352102,US2183521028,B00SCY1,Health Care,Pharmaceuticals,Pharmaceuticals,2.890000105,Common Stock,288080416,-20.16574043,-26.46310291,2.120147803,256753.8769,-35002000,0,32802000,0,,875000,-3.46,3.0655,3.7082,3.8164,3.6763,-2.69,-29.34,,,
MWV US Equity,583334107,US5833341077,2840044,Materials,Containers & Packaging,Paper Packaging,28.76000023,Common Stock,4993038336,1.2676078,8.536368992,21.50222509,941281.8154,239000000,0,3164999936,0,,5981000192,6.4,28.424,28.3888,28.1226,27.4817,0.07,5.50,,,
CKEC US Equity,143436400,US1434364006,2845469,Consumer Discretionary,Media,Movies & Entertainment,11.5,Common Stock,204431104,-17.26618478,52.7224393,62.42938028,220179.6154,8177000,0,56481000,0,,521204008,-1.91,12.726,13.6976,13.8,11.1555,-6.5,-18.67,,,
VRNT US Equity,92343X100,US92343X1000,2849193,Information Technology,Software,Application Software,28.62999916,Common Stock,1120644096,2.579718084,4.146960346,0.174944847,157337.2,50699000,14985000,161840000,285542016,,802951008,-4.16,28.4725,28.571,29.0533,28.7315,-1.31,-0.31,,,
VSI US Equity,9.28E+105,US92849E1010,B55C7L5,Consumer Discretionary,Specialty Retail,Specialty Stores,53.61000061,Common Stock,1593353600,-2.385283325,26.3492817,21.01580482,378647.3846,56179000,0,405452992,0,,916824000,8.79,55.6615,55.506,52.4361,46.9657,0.02,8.26,,,
BCBP US Equity,55298103,US0552981039,2848253,Financials,Banks,Regional Banks,10.25,Common Stock,89433296,-1.918118888,0.345235607,9.55773377,11159.8254,404000,0,88841000,0,-10081000,56281000,2.63,10.344,10.3394,10.3021,10.2255,0,1.34,,,
EPAX US Equity,23177108,US0231771082,2845845,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",5.429999828,Common Stock,95591344,0.539420145,5.414152316,-25.01773563,95184.55385,4546000,0,82340000,0,,62991000,-0.55,5.386,5.3068,5.2069,5.0525,-1.63,9.57,,,
MACK US Equity,590328100,US5903281005,B72XX62,Health Care,Biotechnology,Biotechnology,7.960000038,Common Stock,746003264,-0.125467407,,,130299.1231,-80486000,,32742000,,,44566000,17.84,7.5855,7.5716,7.3825,#N/A N/A,5.92,15.87,,,
CVGW US Equity,128246105,US1282461052,2859200,Consumer Staples,Food Products,Packaged Foods & Meats,26.44000053,Common Stock,390978848,-2.001478938,-3.854543513,34.93757812,61368.26154,11477000,0,100959000,0,,568875984,-5.45,26.5785,26.3118,26.7153,26.7058,0.61,-3.47,,,
NYX US Equity,629491101,US6294911010,B1VJYW2,,,,25.04999924,Common Stock,6162299904,-1.687599344,-13.95138715,-3.958562848,2562379.723,524000000,0,6311000064,0,1336999936,4250000000,-0.45,25.249,25.3532,25.3589,26.7011,-0.75,4.33,,,
SBRA US Equity,78573L106,US78573L1061,B5NLBP6,Financials,Real Estate Investment Trusts (REITs),Health Care REITs,19.17000008,REIT,710271552,5.366141371,41.95039258,79.51261929,390736.2923,19835000,0,316424992,0,0,96663000,4.38,19.031,18.2681,16.8693,15.2362,0.05,35.70,,,
ARO US Equity,7865108,US0078651082,2872092,Consumer Discretionary,Specialty Retail,Apparel Retail,13.93000031,Common Stock,1132036736,-29.36105076,-22.48190964,24.59749486,2707999.692,60854000,0,422116000,0,,2387437024,-2.87,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,
RGC US Equity,758766109,US7587661098,2866824,Consumer Discretionary,Media,Movies & Entertainment,13.89999962,Common Stock,2160538112,0.578870662,3.76924744,13.18047425,1567749.615,112500000,0,-540600000,0,,2765699968,2.76,13.8315,13.75,13.7065,13.4485,0.94,2.71,,,
CQB US Equity,170032809,US1700328099,2855468,,,,6,Common Stock,275786400,15.83011967,-37.43482894,-41.80407608,439197.2462,-51460000,0,784116992,0,,3071413056,27.33,5.871,5.4126,5.9052,7.3672,-1.64,10.70,,,
DDE US Equity,260095104,US2600951048,2857486,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,2.5,Common Stock,81246256,-7.360082405,6.491049677,-0.265408443,13889.46154,8347000,0,115152000,0,,244160000,-0.4,2.571,2.7938,2.7864,2.5611,-1.57,-13.39,,,
AMRC US Equity,2.36E+111,US02361E1082,B3SWPT2,Industrials,Construction & Engineering,Construction & Engineering,12.01000023,Common Stock,536510720,-1.23354951,-14.76224202,7.809693526,113227.4,27280273,,248475552,,,726971888,-1.67,12.1215,12.1328,11.9002,12.5238,-0.08,11.72,,,
POM US Equity,713291102,US7132911022,2971698,Utilities,Electric Utilities,Electric Utilities,19.30999947,Common Stock,4419782656,-3.256511264,2.123394483,4.846437637,1782623.446,233000000,0,4384000000,0,,5348000128,-0.76,19.434,19.4864,19.2048,19.3806,0.16,2.73,,,
FBMS US Equity,318916103,US3189161033,2184300,Financials,Banks,Regional Banks,9.670000076,Common Stock,30063064,-0.166837313,2.46039129,22.46706301,2572.083333,3708000,383000,46320000,16980000,,31720000,-1.76,9.6555,9.3724,9.1426,#N/A N/A,1.79,6.53,,,
CPSI US Equity,205306103,US2053061030,2872122,Health Care,Health Care Technology,Health Care Technology,50.54999924,Common Stock,559355968,3.074452401,-15.43879696,-26.30721552,85592.52308,26454452,0,61682060,0,1520893,174477828,9.89,48.433,50.9016,53.3762,53.8584,-0.08,-6.21,,,
CME US Equity,12572Q105,US12572Q1058,2965839,Financials,Diversified Financial Services,Specialized Finance,54.90000153,Common Stock,18244110336,5.354060416,-2.576608371,6.759419159,1997105.523,1581400032,0,21620000768,0,,3181200000,5.19,53.5555,52.8657,53.181,52.8828,2.29,7.45,,,
NXST US Equity,65336K103,US65336K1034,2949758,Consumer Discretionary,Media,Broadcasting,8.659999847,Common Stock,250470480,32.82208394,4.96969512,41.96721283,54160.70769,8839000,0,-170583008,0,,333547000,22.63,8.4645,7.2782,7.1392,7.6977,3.59,30.62,,,
CYNO US Equity,232577205,US2325772059,B0T4N70,Health Care,Health Care Equipment & Supplies,Health Care Equipment,26,Common Stock,338145600,3.833862018,46.14951468,153.9062557,138060.5538,3790000,0,124917000,0,,136120000,1.38,25.9915,23.6502,21.8628,18.1817,-5.49,31.85,,,
CEVA US Equity,157210105,US1572101053,2986937,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,16.12000084,Common Stock,364097600,3.732309387,-34.60445806,-39.4440258,179922.4923,18124000,0,192988992,0,,59503000,-10.79,16.6175,16.3154,17.3161,21.8453,-5.51,-7.25,,,
BDSI US Equity,09060J106,US09060J1060,2820165,Health Care,Pharmaceuticals,Pharmaceuticals,4.929999828,Common Stock,148216016,4.008440219,118.1415862,45.85797815,221550.6769,13622867,0,28061124,0,,48108451,28.19,4.734,4.7066,4.1906,2.9875,2.28,40.86,,,
