EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker,CUSIP,ISIN,SEDOL,GICS Sector,GICS Ind Name,GICS SubInd Name,Price:D-1,Sec Type,Market Cap,Total Return:M-1,Total Return:M-6,Total Return:Y-1,Average Volume:M-3,Inc Before XO Items T12M,Preferred Dividends T12M,Tot CE LF,Pref Eq LF,Deferred Tax Liab LF,Revenue T12M,NextMonthReturnt,MOV_AVG_20D,MOV_AVG_50D,MOV_AVG_100D,MOV_AVG_200D,Total Return:W-1,Total Return:M-3,,,
None (3666 securities),,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,20160422
ACFC US Equity,48426100,US0484261005,B3R7WM0,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,6.420000076,Common Stock,99568168,9.556312799,1.904760031,56.58537136,14381.61905,8846000,0,82832000,0,,38770000,-2.34,6.2397,5.94,5.8209,5.7906,1.58,15.68,,,20160429
MANT US Equity,564563104,US5645631046,2825308,Information Technology,IT Services,IT Consulting & Other Services,33.79999924,Common Stock,1274697088,4.903780126,17.7755812,9.282880199,152237.8095,52585000,0,1189527040,0,,1570448992,6.3,32.149,31.105,30.1291,29.3374,5.07,18.09,,,
SVBI US Equity,81811M100,US81811M1009,2962443,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,5.810874939,Common Stock,58625212,13.27241344,10.05444523,24.42986818,5807.233333,4577000,2172000,59563000,26893000,-2893000,37228000,1.19,5.4946,5.2939,5.3882,5.1766,3.4,5.08,,,
FVE US Equity,33832D106,US33832D1063,2826152,Health Care,Health Care Providers & Services,Health Care Facilities,2.440000057,Common Stock,120711712,9.417041989,-24.45820301,-45.65701155,174903.8413,-40759000,0,184452000,0,,1365409984,-17.62,2.3505,2.355,2.5939,3.0479,-4.31,-3.94,,,
FSP US Equity,35471R106,US35471R1068,B02T2D1,Financials,Real Estate Investment Trusts (REITs),Office REITs,10.61999989,REIT,1063990272,3.02695903,4.121278754,-6.025218001,317788.4921,25060000,0,913084032,0,,243173000,7.44,10.7705,10.2558,10.0033,10.4687,-2.03,10.73,,,
FSNN US Equity,36113B400,US36113B4005,BMM28B4,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers,1.749874949,Common Stock,25741350,-0.575286424,-38.74059148,-55.36033379,24642.92063,-8229826,1578220,14453735,234,0,101694518,-22.85,1.7488,1.8339,2.1687,2.2828,2.93,-17.07,,,
EAC US Equity,29482P100,US29482P1003,B3X9J74,Industrials,Aerospace & Defense,Aerospace & Defense,1.450000048,Common Stock,20148360,-12.65059778,-54.25867468,-61.94225539,17943.1746,-86632000,0,88570000,0,-741000,297520000,-47.93,1.617,1.71,1.8257,2.4955,-5.84,-18.54,,,
CUTR US Equity,232109108,US2321091082,2839741,Health Care,Health Care Equipment & Supplies,Health Care Equipment,11.65999985,Common Stock,151492592,1.745199028,-16.11510671,-16.35580919,58458.2381,-4440000,0,50034000,0,-168000,94761000,-10.12,11.624,11.639,11.6608,13.0086,-0.09,3.74,,,
H US Equity,448579102,US4485791028,B5B82X4,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",47.88000107,Common Stock,6457592320,-0.083466407,-4.811129634,-18.65443328,641419.7937,124000000,0,3991000064,0,-242000000,4327999936,-4.11,47.4695,47.4396,45.1165,48.282,2.97,23.78,,,
CORT US Equity,218352102,US2183521028,B00SCY1,Health Care,Pharmaceuticals,Pharmaceuticals,4.769999981,Common Stock,523130368,11.44859222,25.85752055,-21.15702759,202324,-6408000,0,18498000,0,,50286000,24.74,4.9515,4.4404,4.2988,4.4813,-7.38,30.68,,,
CKEC US Equity,143436400,US1434364006,2845469,Consumer Discretionary,Media,Movies & Entertainment,29.98999977,Common Stock,736328768,-1.218711567,20.20039621,-5.184949204,683501.9365,-448000,0,289771008,0,-105842000,804368000,-0.37,30.0065,28.385,25.1189,24.2848,-0.33,35.21,,,
VRNT US Equity,92343X100,US92343X1000,2849193,Information Technology,Software,Application Software,33.84000015,Common Stock,2107096064,-3.836312949,-28.50200963,-46.16608364,711817.9048,18071000,0,1060137024,0,9514000,1130265984,-2.51,34.447,35.068,36.3677,43.1299,-2.39,-7.57,,,
VSI US Equity,9.28E+105,US92849E1010,B55C7L5,Consumer Discretionary,Specialty Retail,Specialty Stores,27.37000084,Common Stock,664253376,-9.580441277,-2.943262061,-34.63099704,368133.7619,53171000,0,475300992,0,603000,1266548992,10.49,29.409,29.7274,30.4421,31.9553,-9.13,-10.06,,,
BCBP US Equity,55298103,US0552981039,2848253,Financials,Banks,Regional Banks,10.11999989,Common Stock,113565600,0.590970969,3.36643816,-13.14894466,10310.1746,7219000,949000,132311000,0,-11460000,77205000,3.56,10.0798,10.0271,10.2029,10.5259,2.3,-2.00,,,
MACK US Equity,590328100,US5903281005,B72XX62,Health Care,Biotechnology,Biotechnology,7.079999924,Common Stock,888795072,-13.23529343,-25.94142664,-41.0981726,1990118.524,-147787000,0,-183928000,0,,89258000,-5.79,7.916,7.46,7.1688,8.4431,-6.47,14.75,,,
CVGW US Equity,128246105,US1282461052,2859200,Consumer Staples,Food Products,Packaged Foods & Meats,57.16999817,Common Stock,994757952,1.509230253,14.35075159,12.88357662,176810.5079,28276000,0,188292000,0,-20578000,866608000,-0.98,56.4745,54.9328,52.7337,52.1067,2.13,10.47,,,
SBRA US Equity,78573L106,US78573L1061,B5NLBP6,Financials,Real Estate Investment Trusts (REITs),Health Care REITs,21.09000015,REIT,1376612096,4.251115323,-5.246841213,-25.46754547,532656.5079,79383000,10242000,1053712000,58000,0,238864000,1.29,20.262,20.1265,19.5489,21.5402,4.1,17.98,,,
RGC US Equity,758766109,US7587661098,2866824,Consumer Discretionary,Media,Movies & Entertainment,20.85000038,Common Stock,3269157632,-3.293131271,10.84598247,-2.284987784,1201346.111,170900000,0,-877800000,0,,3223100032,0.86,20.702,20.641,19.3052,19.2085,-1.14,22.22,,,
DDE US Equity,260095104,US2600951048,2857486,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,1.080000043,Common Stock,35655784,-1.818180045,5.882359129,-6.896545346,24788.36508,1986000,0,114828000,0,-482000,183325000,-0.01,1.079,1.085,1.0253,1.0181,0,18.68,,,
AMRC US Equity,2.36E+111,US02361E1082,B3SWPT2,Industrials,Construction & Engineering,Construction & Engineering,4.46999979,Common Stock,209120640,-8.401645792,-30.91190208,-37.8303233,65940.95238,-2551000,0,289542016,0,0,630831992,4.7,4.4205,4.7336,5.1339,5.7561,-2.19,-17.98,,,
FBMS US Equity,318916103,US3189161033,2184300,Financials,Banks,Regional Banks,16.47999954,Common Stock,89519592,4.767121015,3.454129681,1.504537321,3608.031746,9374000,342000,107197000,17123000,-6413447,49338000,2.22,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.68,-3.70,,,
CPSI US Equity,205306103,US2053061030,2872122,Health Care,Health Care Technology,Health Care Technology,51.33000183,Common Stock,693415040,-3.351532214,18.19798281,1.301493763,175771.1905,18343444,0,75366416,0,-2310606,182173464,-18.28,52.5335,53.1718,52.1003,48.7246,-2.41,-1.19,,,
CME US Equity,12572Q105,US12572Q1058,2965839,Financials,Diversified Financial Services,Specialized Finance,91.91000366,Common Stock,31123724288,-3.252627724,-1.522044314,8.688123162,1955713.54,1284400000,0,20841400320,0,7267200000,3418300032,6.51,92.518,93.7056,91.8472,93.2104,-2.43,2.95,,,
NXST US Equity,65336K103,US65336K1034,2949758,Consumer Discretionary,Media,Broadcasting,51.33000183,Common Stock,1573408384,14.09202026,-2.206804724,-10.87900595,612529.5714,76383000,0,80674000,0,0,901872000,4.15,48.4375,46.475,48.0212,50.0696,0.94,14.29,,,
CYNO US Equity,232577205,US2325772059,B0T4N70,Health Care,Health Care Equipment & Supplies,Health Care Equipment,48.93999863,Common Stock,1114961536,12.06778264,32.02049914,41.97852304,284852.0635,18661000,0,411628992,0,,359214000,-2.39,45.6795,43.0332,41.01,38.4388,9.14,35.19,,,
CEVA US Equity,157210105,US1572101053,2986937,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,23.05999947,Common Stock,471219840,4.865846776,-0.086657096,8.212107198,106937.0952,6267000,0,186095008,0,-1628000,59499000,17.26,22.535,21.2917,21.6974,21.2807,0.26,-0.39,,,
CYTK US Equity,23282W605,US23282W6057,BBBSBJ5,Health Care,Biotechnology,Biotechnology,8.140000343,Common Stock,322404544,19.18009421,-8.1264034,21.4925459,361627.5238,-41084000,0,57906000,0,0,32665000,0.12,7.9945,7.1208,8.1095,8.0704,-4.57,5.71,,,
BDSI US Equity,09060J106,US09060J1060,2820165,Health Care,Pharmaceuticals,Pharmaceuticals,3.380000114,Common Stock,180719152,9.03226511,-38.20840504,-61.01499326,1168901.937,-37672000,,31693908,2093,0,48231000,-33.43,3.621,3.5203,3.9124,5.2631,-8.89,-16.54,,,
APPY US Equity,92262A206,US92262A2069,BYZCF36,Health Care,Biotechnology,Biotechnology,3.089999914,Common Stock,11969900,28.74999131,35.52631373,-34.53389721,39487.88095,-8757565,0,16070636,0,0,198086,8.09,3.0172,2.4114,2.304,2.5864,0.66,45.75,,,
FORM US Equity,346375108,US3463751087,2891826,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,7.699999809,Common Stock,453628224,-2.284267799,-10.15169097,-16.395225,321944.0159,-16106000,0,286211008,0,-3339000,265140000,-6.88,7.3585,7.4668,7.7688,7.5508,4.62,-7.34,,,
